,Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status.1,unit.1,Nitric oxide,status.2,unit.2,Nitrogen dioxide,status.3,unit.3,Nitrogen oxides as nitrogen dioxide,status.4,unit.4,Non-volatile PM<sub>10</sub> (Hourly measured),status.5,unit.5,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.6,unit.6,Ozone,status.7,unit.7,PM<sub>2.5</sub> particulate matter (Hourly measured),status.8,unit.8,Sulphur dioxide,status.9,unit.9,Volatile PM<sub>10</sub> (Hourly measured),status.10,unit.10,Volatile PM<sub>2.5</sub> (Hourly measured),status.11,unit.11
0,01-01-2012,01:00,0.12,R,mgm-3,11.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,25.0,R,ugm-3,27.0,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS),36.0,R,ugm-3,10.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
1,01-01-2012,02:00,0.23,R,mgm-3,11.0,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3,19.0,R,ugm-3,19.0,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),7.0,R,ugm-3 (TEOM FDMS),42.0,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
2,01-01-2012,03:00,0.12,R,mgm-3,9.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,23.0,R,ugm-3,25.0,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS),40.0,R,ugm-3,11.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
3,01-01-2012,04:00,0.23,R,mgm-3,10.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,21.0,R,ugm-3,23.0,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),4.0,R,ugm-3 (TEOM FDMS),40.0,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS)
4,01-01-2012,05:00,0.12,R,mgm-3,8.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,23.0,R,ugm-3,25.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),36.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS)
5,01-01-2012,06:00,0.12,R,mgm-3,6.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,21.0,R,ugm-3,23.0,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),40.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS)
6,01-01-2012,07:00,0.12,R,mgm-3,9.0,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3,23.0,R,ugm-3,23.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),40.0,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
7,01-01-2012,08:00,0.12,R,mgm-3,9.0,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3,21.0,R,ugm-3,21.0,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS),42.0,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS)
8,01-01-2012,09:00,0.12,R,mgm-3,5.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,21.0,R,ugm-3,23.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),4.0,R,ugm-3 (TEOM FDMS),40.0,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
9,01-01-2012,10:00,0.12,R,mgm-3,7.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3,23.0,R,ugm-3,25.0,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS),42.0,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
