,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.3,unit.3,PM<sub>2.5</sub> particulate matter (Hourly measured),status.4,unit.4,Volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5
0,01-01-2019,01:00,0.68003,R,ugm-3,5.91189,R,ugm-3,6.95459,R,ugm-3,18.6,R,ugm-3 (TEOM FDMS),20.5,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS)
1,01-01-2019,02:00,0.57541,R,ugm-3,7.7905,R,ugm-3,8.67279,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),11.2,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
2,01-01-2019,03:00,0.31386,R,ugm-3,6.88244,R,ugm-3,7.36369,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),9.1,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
3,01-01-2019,04:00,0.47079,R,ugm-3,4.30998,R,ugm-3,5.03185,R,ugm-3,4.1,R,ugm-3 (TEOM FDMS),6.6,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS)
4,01-01-2019,05:00,0.2354,R,ugm-3,4.67092,R,ugm-3,5.03185,R,ugm-3,3.6,R,ugm-3 (TEOM FDMS),5.9,R,ugm-3 (TEOM FDMS),2.3,R,ugm-3 (TEOM FDMS)
5,01-01-2019,06:00,0.58849,R,ugm-3,7.19772,R,ugm-3,8.10006,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
6,01-01-2019,07:00,0.74542,R,ugm-3,15.24124,R,ugm-3,16.3842,R,ugm-3,3.8,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS)
7,01-01-2019,08:00,0.58849,R,ugm-3,18.79552,R,ugm-3,19.69786,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),0.8,R,ugm-3 (TEOM FDMS)
8,01-01-2019,09:00,0.82388,R,ugm-3,19.53914,R,ugm-3,20.80241,R,ugm-3,2.5,R,ugm-3 (TEOM FDMS),4.5,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
9,01-01-2019,10:00,2.47165,R,ugm-3,22.90355,R,ugm-3,26.69336,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
10,01-01-2019,11:00,2.98167,R,ugm-3,22.85789,R,ugm-3,27.42973,R,ugm-3,4.5,R,ugm-3 (TEOM FDMS),7.2,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
11,01-01-2019,12:00,3.84479,R,ugm-3,24.47994,R,ugm-3,30.37521,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),7.4,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS)
12,01-01-2019,13:00,2.31472,R,ugm-3,15.71912,R,ugm-3,19.26831,R,ugm-3,4.7,R,ugm-3 (TEOM FDMS),7.6,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
13,01-01-2019,14:00,2.00086,R,ugm-3,11.96625,R,ugm-3,15.03419,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
14,01-01-2019,15:00,1.8047,R,ugm-3,13.55567,R,ugm-3,16.32284,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),7.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS)
15,01-01-2019,16:00,1.5693,R,ugm-3,16.06435,R,ugm-3,18.47058,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
16,01-01-2019,17:00,1.41237,R,ugm-3,17.22543,R,ugm-3,19.39104,R,ugm-3,4.5,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
17,01-01-2019,18:00,1.21621,R,ugm-3,9.79434,R,ugm-3,11.65917,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3 (TEOM FDMS)
18,01-01-2019,19:00,1.33391,R,ugm-3,12.9889,R,ugm-3,15.03419,R,ugm-3,5.8,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS),0.3,R,ugm-3 (TEOM FDMS)
19,01-01-2019,20:00,1.37314,R,ugm-3,13.11283,R,ugm-3,15.21829,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
20,01-01-2019,21:00,1.96163,R,ugm-3,24.05376,R,ugm-3,27.06155,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS),0.8,R,ugm-3 (TEOM FDMS)
21,01-01-2019,22:00,1.13775,R,ugm-3,10.28284,R,ugm-3,12.02735,R,ugm-3,2.9,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
22,01-01-2019,23:00,0.82388,R,ugm-3,7.57315,R,ugm-3,8.83642,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS)
23,01-01-2019,24:00,0.74542,R,ugm-3,12.84804,R,ugm-3,13.991,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
24,02-01-2019,01:00,0.68021,R,ugm-3,6.57045,R,ugm-3,7.61343,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3 (TEOM FDMS)
25,02-01-2019,02:00,0.52324,R,ugm-3,6.23808,R,ugm-3,7.04037,R,ugm-3,3.6,R,ugm-3 (TEOM FDMS),5.1,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
26,02-01-2019,03:00,0.35319,R,ugm-3,5.59831,R,ugm-3,6.13986,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
27,02-01-2019,04:00,0.2747,R,ugm-3,6.08705,R,ugm-3,6.50825,R,ugm-3,3.8,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
28,02-01-2019,05:00,0.47092,R,ugm-3,7.13696,R,ugm-3,7.85902,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS)
29,02-01-2019,06:00,0.78486,R,ugm-3,11.32188,R,ugm-3,12.52531,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),2.1,R,ugm-3 (TEOM FDMS)
30,02-01-2019,07:00,1.72669,R,ugm-3,20.92951,R,ugm-3,23.57706,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),1.2,R,ugm-3 (TEOM FDMS)
31,02-01-2019,08:00,3.13944,R,ugm-3,27.42053,R,ugm-3,32.23427,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),5.6,R,ugm-3 (TEOM FDMS),0.5,R,ugm-3 (TEOM FDMS)
32,02-01-2019,09:00,3.33565,R,ugm-3,29.45282,R,ugm-3,34.56741,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS),1.2,R,ugm-3 (TEOM FDMS)
33,02-01-2019,10:00,4.199,R,ugm-3,27.88345,R,ugm-3,34.32182,R,ugm-3,6.1,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),1.2,R,ugm-3 (TEOM FDMS)
34,02-01-2019,11:00,3.80657,R,ugm-3,22.71369,R,ugm-3,28.55035,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),7.9,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
35,02-01-2019,12:00,4.78764,R,ugm-3,23.05136,R,ugm-3,30.39231,R,ugm-3,4.6,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS),1.1,R,ugm-3 (TEOM FDMS)
36,02-01-2019,13:00,3.29641,R,ugm-3,20.426,R,ugm-3,25.48042,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
37,02-01-2019,14:00,4.15976,R,ugm-3,22.29494,R,ugm-3,28.67315,R,ugm-3,6.4,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS),2.1,R,ugm-3 (TEOM FDMS)
38,02-01-2019,15:00,5.18007,R,ugm-3,27.91412,R,ugm-3,35.85678,R,ugm-3,5.0,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
39,02-01-2019,16:00,4.78764,R,ugm-3,33.61192,R,ugm-3,40.95287,R,ugm-3,4.2,R,ugm-3 (TEOM FDMS),6.6,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
40,02-01-2019,17:00,3.29641,R,ugm-3,29.51299,R,ugm-3,34.56741,R,ugm-3,6.2,R,ugm-3 (TEOM FDMS),8.8,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
41,02-01-2019,18:00,3.9243,R,ugm-3,31.92716,R,ugm-3,37.94434,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS),1.4,R,ugm-3 (TEOM FDMS)
42,02-01-2019,19:00,3.17868,R,ugm-3,32.33364,R,ugm-3,37.20755,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),7.4,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
43,02-01-2019,20:00,3.49263,R,ugm-3,36.76416,R,ugm-3,42.11944,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),9.2,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
44,02-01-2019,21:00,2.15836,R,ugm-3,31.13517,R,ugm-3,34.44462,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),9.6,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
45,02-01-2019,22:00,2.39382,R,ugm-3,27.88841,R,ugm-3,31.55888,R,ugm-3,7.1,R,ugm-3 (TEOM FDMS),9.8,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
46,02-01-2019,23:00,1.29502,R,ugm-3,19.99503,R,ugm-3,21.9807,R,ugm-3,8.7,R,ugm-3 (TEOM FDMS),10.9,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
47,02-01-2019,24:00,1.0988,R,ugm-3,20.35729,R,ugm-3,22.0421,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),9.8,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
48,03-01-2019,01:00,0.88974,R,ugm-3,20.66977,R,ugm-3,22.03403,R,ugm-3,12.3,R,ugm-3 (TEOM FDMS),14.0,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
49,03-01-2019,02:00,0.78507,R,ugm-3,14.93269,R,ugm-3,16.13644,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),12.3,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
50,03-01-2019,03:00,0.5888,R,ugm-3,19.00153,R,ugm-3,19.90434,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
51,03-01-2019,04:00,0.66731,R,ugm-3,19.06545,R,ugm-3,20.08864,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),13.3,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS)
52,03-01-2019,05:00,1.37387,R,ugm-3,30.2687,R,ugm-3,32.37527,R,ugm-3,13.6,R,ugm-3 (TEOM FDMS),17.7,R,ugm-3 (TEOM FDMS),4.1,R,ugm-3 (TEOM FDMS)
53,03-01-2019,06:00,4.35713,R,ugm-3,39.02544,R,ugm-3,45.70627,R,ugm-3,9.4,R,ugm-3 (TEOM FDMS),12.5,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS)
54,03-01-2019,07:00,9.46007,R,ugm-3,51.35111,R,ugm-3,65.85634,R,ugm-3,9.9,R,ugm-3 (TEOM FDMS),12.5,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
55,03-01-2019,08:00,16.01538,R,ugm-3,62.8628,R,ugm-3,87.41938,R,ugm-3,6.5,R,ugm-3 (TEOM FDMS),10.1,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS)
56,03-01-2019,09:00,11.5405,R,ugm-3,62.84369,R,ugm-3,80.53887,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),8.2,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
57,03-01-2019,10:00,17.50701,R,ugm-3,60.69854,R,ugm-3,87.54225,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
58,03-01-2019,11:00,9.77409,R,ugm-3,48.47372,R,ugm-3,63.46045,R,ugm-3,7.1,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
59,03-01-2019,12:00,7.18337,R,ugm-3,37.88645,R,ugm-3,48.90079,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),11.1,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
