,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,PM<sub>2.5</sub> particulate matter (Hourly measured),status.6,unit.6,Volatile PM<sub>10</sub> (Hourly measured),status.7,unit.7,Volatile PM<sub>2.5</sub> (Hourly measured),status.8,unit.8
0,01-01-2019,01:00,39.7,R,ugm-3 (TEOM FDMS),2.18053,R,ugm-3,16.64913,R,ugm-3,19.99255,R,ugm-3,37.2,R,ugm-3 (TEOM FDMS),33.7,R,ugm-3 (TEOM FDMS),35.5,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS)
1,01-01-2019,02:00,15.9,R,ugm-3 (TEOM FDMS),3.0112,R,ugm-3,18.44484,R,ugm-3,23.06195,R,ugm-3,12.9,R,ugm-3 (TEOM FDMS),8.2,R,ugm-3 (TEOM FDMS),9.2,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS)
2,01-01-2019,03:00,11.5,R,ugm-3 (TEOM FDMS),1.51858,R,ugm-3,12.23044,R,ugm-3,14.55889,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),4.5,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),-0.3,R,ugm-3 (TEOM FDMS)
3,01-01-2019,04:00,10.9,R,ugm-3 (TEOM FDMS),1.16814,R,ugm-3,9.90577,R,ugm-3,11.69689,R,ugm-3,7.9,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS)
4,01-01-2019,05:00,12.2,R,ugm-3 (TEOM FDMS),1.1292,R,ugm-3,10.83652,R,ugm-3,12.56793,R,ugm-3,9.1,R,ugm-3 (TEOM FDMS),3.7,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
5,01-01-2019,06:00,11.4,R,ugm-3 (TEOM FDMS),1.44071,R,ugm-3,18.75825,R,ugm-3,20.96729,R,ugm-3,10.3,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS),1.1,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
6,01-01-2019,07:00,11.8,R,ugm-3 (TEOM FDMS),5.87963,R,ugm-3,51.02457,R,ugm-3,60.03988,R,ugm-3,11.1,R,ugm-3 (TEOM FDMS),5.1,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS)
7,01-01-2019,08:00,14.8,R,ugm-3 (TEOM FDMS),3.81592,R,ugm-3,38.69673,R,ugm-3,44.54773,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),7.7,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS),0.8,R,ugm-3 (TEOM FDMS),0.8,R,ugm-3 (TEOM FDMS)
8,01-01-2019,09:00,10.1,R,ugm-3 (TEOM FDMS),8.4106,R,ugm-3,42.60193,R,ugm-3,55.498,R,ugm-3,10.0,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),0.1,R,ugm-3 (TEOM FDMS),-1.1,R,ugm-3 (TEOM FDMS)
9,01-01-2019,10:00,5.3,R,ugm-3 (TEOM FDMS),9.65662,R,ugm-3,38.57601,R,ugm-3,53.38261,R,ugm-3,9.1,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS),-3.8,R,ugm-3 (TEOM FDMS),-3.1,R,ugm-3 (TEOM FDMS)
10,01-01-2019,11:00,12.5,R,ugm-3 (TEOM FDMS),7.63184,R,ugm-3,21.64658,R,ugm-3,33.34858,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),4.6,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
11,01-01-2019,12:00,7.1,R,ugm-3 (TEOM FDMS),13.82298,R,ugm-3,21.79735,R,ugm-3,42.99229,R,ugm-3,7.3,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS),-0.6,R,ugm-3 (TEOM FDMS)
12,01-01-2019,13:00,12.7,R,ugm-3 (TEOM FDMS),20.09199,R,ugm-3,30.91246,R,ugm-3,61.71975,R,ugm-3,11.6,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),1.1,R,ugm-3 (TEOM FDMS),0.0,R,ugm-3 (TEOM FDMS)
13,01-01-2019,14:00,14.3,R,ugm-3 (TEOM FDMS),29.00878,R,ugm-3,36.90097,R,ugm-3,81.38048,R,ugm-3,14.7,R,ugm-3 (TEOM FDMS),8.3,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS),-0.4,R,ugm-3 (TEOM FDMS),0.2,R,ugm-3 (TEOM FDMS)
14,01-01-2019,15:00,10.0,R,ugm-3 (TEOM FDMS),15.26368,R,ugm-3,29.48088,R,ugm-3,52.88487,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS),-1.1,R,ugm-3 (TEOM FDMS)
15,01-01-2019,16:00,11.6,R,ugm-3 (TEOM FDMS),29.04772,R,ugm-3,41.69423,R,ugm-3,86.23345,R,ugm-3,11.2,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS),9.3,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS)
