,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2019,01:00,,,,9.50224,R,ugm-3,47.04939,R,ugm-3,61.61929,R,ugm-3,,,,8.8,R,ugm-3 (TEOM FDMS),35.32389,R,ugm-3,11.0,R,ugm-3 (TEOM FDMS),0.90306,R,ugm-3,,,,2.2,R,ugm-3 (TEOM FDMS)
1,01-01-2019,02:00,,,,7.38007,R,ugm-3,43.39999,R,ugm-3,54.71595,R,ugm-3,,,,11.4,R,ugm-3 (TEOM FDMS),35.45694,R,ugm-3,12.4,R,ugm-3 (TEOM FDMS),1.08368,R,ugm-3,,,,1.0,R,ugm-3 (TEOM FDMS)
2,01-01-2019,03:00,,,,8.3303,R,ugm-3,39.07622,R,ugm-3,51.84917,R,ugm-3,,,,3.8,R,ugm-3 (TEOM FDMS),40.81207,R,ugm-3,2.8,R,ugm-3 (TEOM FDMS),1.15141,R,ugm-3,,,,-1.0,R,ugm-3 (TEOM FDMS)
3,01-01-2019,04:00,,,,3.29411,R,ugm-3,22.43064,R,ugm-3,27.48154,R,ugm-3,,,,4.7,R,ugm-3 (TEOM FDMS),49.64304,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),0.94822,R,ugm-3,,,,1.0,R,ugm-3 (TEOM FDMS)
4,01-01-2019,05:00,,,,5.25791,R,ugm-3,36.02708,R,ugm-3,44.08909,R,ugm-3,,,,3.5,R,ugm-3 (TEOM FDMS),38.6168,R,ugm-3,4.7,R,ugm-3 (TEOM FDMS),0.88049,R,ugm-3,,,,1.2,R,ugm-3 (TEOM FDMS)
5,01-01-2019,06:00,,,,10.54749,R,ugm-3,51.4933,R,ugm-3,67.66588,R,ugm-3,,,,3.0,R,ugm-3 (TEOM FDMS),31.73163,R,ugm-3,4.5,R,ugm-3 (TEOM FDMS),0.88049,R,ugm-3,,,,1.5,R,ugm-3 (TEOM FDMS)
6,01-01-2019,07:00,,,,2.12217,R,ugm-3,30.75199,R,ugm-3,34.00594,R,ugm-3,,,,3.8,R,ugm-3 (TEOM FDMS),34.77507,R,ugm-3,3.3,R,ugm-3 (TEOM FDMS),0.94822,R,ugm-3,,,,-0.5,R,ugm-3 (TEOM FDMS)
7,01-01-2019,08:00,,,,11.11762,R,ugm-3,51.50879,R,ugm-3,68.55557,R,ugm-3,,,,4.0,R,ugm-3 (TEOM FDMS),21.15442,R,ugm-3,2.8,R,ugm-3 (TEOM FDMS),1.28687,R,ugm-3,,,,-1.2,R,ugm-3 (TEOM FDMS)
8,01-01-2019,09:00,,,,8.2036,R,ugm-3,44.21321,R,ugm-3,56.79189,R,ugm-3,,,,5.8,R,ugm-3 (TEOM FDMS),24.94625,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),1.08368,R,ugm-3,,,,1.6,R,ugm-3 (TEOM FDMS)
9,01-01-2019,10:00,,,,8.90043,R,ugm-3,41.66194,R,ugm-3,55.30908,R,ugm-3,,,,4.4,R,ugm-3 (TEOM FDMS),22.30195,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),1.15141,R,ugm-3,,,,1.6,R,ugm-3 (TEOM FDMS)
