,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2
0,01-01-2019,01:00,3.32256,R,ugm-3,12.71379,R,ugm-3,17.80832,R,ugm-3
1,01-01-2019,02:00,3.32256,R,ugm-3,12.34149,R,ugm-3,17.43602,R,ugm-3
2,01-01-2019,03:00,1.49515,R,ugm-3,9.5745,R,ugm-3,11.86704,R,ugm-3
3,01-01-2019,04:00,2.40397,R,ugm-3,8.27408,R,ugm-3,11.96012,R,ugm-3
4,01-01-2019,05:00,1.90559,R,ugm-3,9.55017,R,ugm-3,12.47203,R,ugm-3
5,01-01-2019,06:00,3.25416,R,ugm-3,20.97824,R,ugm-3,25.96788,R,ugm-3
6,01-01-2019,07:00,4.74931,R,ugm-3,22.64138,R,ugm-3,29.92355,R,ugm-3
7,01-01-2019,08:00,10.46607,R,ugm-3,34.95725,R,ugm-3,51.005,R,ugm-3
8,01-01-2019,09:00,5.10111,R,ugm-3,32.29365,R,ugm-3,40.11525,R,ugm-3
9,01-01-2019,10:00,8.238,R,ugm-3,28.08881,R,ugm-3,40.72023,R,ugm-3
10,01-01-2019,11:00,2.96099,R,ugm-3,7.88537,R,ugm-3,12.42549,R,ugm-3
11,01-01-2019,12:00,4.86658,R,ugm-3,9.57071,R,ugm-3,17.03269,R,ugm-3
12,01-01-2019,13:00,4.07503,R,ugm-3,9.71405,R,ugm-3,15.96233,R,ugm-3
13,01-01-2019,14:00,5.24769,R,ugm-3,11.12706,R,ugm-3,19.17341,R,ugm-3
14,01-01-2019,15:00,6.21515,R,ugm-3,12.52898,R,ugm-3,22.05873,R,ugm-3
15,01-01-2019,16:00,3.98708,R,ugm-3,15.85223,R,ugm-3,21.96566,R,ugm-3
16,01-01-2019,17:00,6.24446,R,ugm-3,23.46685,R,ugm-3,33.04156,R,ugm-3
17,01-01-2019,18:00,10.31949,R,ugm-3,27.54987,R,ugm-3,43.37287,R,ugm-3
18,01-01-2019,19:00,8.12073,R,ugm-3,24.68523,R,ugm-3,37.13685,R,ugm-3
19,01-01-2019,20:00,6.03925,R,ugm-3,23.82805,R,ugm-3,33.0881,R,ugm-3
20,01-01-2019,21:00,8.44322,R,ugm-3,26.98301,R,ugm-3,39.9291,R,ugm-3
21,01-01-2019,22:00,4.16298,R,ugm-3,21.49277,R,ugm-3,27.87591,R,ugm-3
22,01-01-2019,23:00,4.01639,R,ugm-3,25.39398,R,ugm-3,31.55236,R,ugm-3
23,01-01-2019,24:00,6.71353,R,ugm-3,25.63294,R,ugm-3,35.92688,R,ugm-3
24,02-01-2019,01:00,9.11253,R,ugm-3,26.93245,R,ugm-3,40.9048,R,ugm-3
25,02-01-2019,02:00,4.4005,R,ugm-3,20.27463,R,ugm-3,27.02196,R,ugm-3
26,02-01-2019,03:00,2.10289,R,ugm-3,10.95284,R,ugm-3,14.17723,R,ugm-3
27,02-01-2019,04:00,2.27813,R,ugm-3,9.42911,R,ugm-3,12.9222,R,ugm-3
28,02-01-2019,05:00,2.07369,R,ugm-3,10.2539,R,ugm-3,13.43351,R,ugm-3
29,02-01-2019,06:00,3.76768,R,ugm-3,15.09371,R,ugm-3,20.87075,R,ugm-3
30,02-01-2019,07:00,5.34485,R,ugm-3,25.59762,R,ugm-3,33.79294,R,ugm-3
31,02-01-2019,08:00,10.07636,R,ugm-3,40.84038,R,ugm-3,56.29058,R,ugm-3
32,02-01-2019,09:00,10.63129,R,ugm-3,36.87516,R,ugm-3,53.17624,R,ugm-3
33,02-01-2019,10:00,13.37673,R,ugm-3,39.54498,R,ugm-3,60.05568,R,ugm-3
34,02-01-2019,11:00,12.70497,R,ugm-3,37.69307,R,ugm-3,57.17376,R,ugm-3
35,02-01-2019,12:00,13.61038,R,ugm-3,36.39776,R,ugm-3,57.26672,R,ugm-3
36,02-01-2019,13:00,18.02062,R,ugm-3,41.25618,R,ugm-3,68.8874,R,ugm-3
37,02-01-2019,14:00,13.81483,R,ugm-3,36.40965,R,ugm-3,57.5921,R,ugm-3
38,02-01-2019,15:00,9.43381,R,ugm-3,30.57679,R,ugm-3,45.04176,R,ugm-3
39,02-01-2019,16:00,12.79259,R,ugm-3,40.85899,R,ugm-3,60.47403,R,ugm-3
40,02-01-2019,17:00,11.18622,R,ugm-3,39.92883,R,ugm-3,57.08079,R,ugm-3
41,02-01-2019,18:00,17.05679,R,ugm-3,49.98533,R,ugm-3,76.13871,R,ugm-3
42,02-01-2019,19:00,14.69104,R,ugm-3,46.31498,R,ugm-3,68.84092,R,ugm-3
43,02-01-2019,20:00,11.39067,R,ugm-3,43.10155,R,ugm-3,60.567,R,ugm-3
44,02-01-2019,21:00,9.60905,R,ugm-3,42.90491,R,ugm-3,57.63858,R,ugm-3
45,02-01-2019,22:00,10.07636,R,ugm-3,41.67707,R,ugm-3,57.12727,R,ugm-3
46,02-01-2019,23:00,9.95953,R,ugm-3,38.69538,R,ugm-3,53.96645,R,ugm-3
47,02-01-2019,24:00,7.47695,R,ugm-3,33.25189,R,ugm-3,44.71638,R,ugm-3
48,03-01-2019,01:00,4.96588,R,ugm-3,27.79489,R,ugm-3,35.40912,R,ugm-3
49,03-01-2019,02:00,3.49163,R,ugm-3,24.17448,R,ugm-3,29.52824,R,ugm-3
50,03-01-2019,03:00,3.02608,R,ugm-3,23.40261,R,ugm-3,28.04254,R,ugm-3
51,03-01-2019,04:00,3.66622,R,ugm-3,22.79251,R,ugm-3,28.41397,R,ugm-3
52,03-01-2019,05:00,,,,,,,,,
53,03-01-2019,06:00,5.54782,R,ugm-3,30.92636,R,ugm-3,39.43289,R,ugm-3
54,03-01-2019,07:00,10.94045,R,ugm-3,41.21351,R,ugm-3,57.98863,R,ugm-3
55,03-01-2019,08:00,,,,,,,,,
56,03-01-2019,09:00,,,,,,,,,
57,03-01-2019,10:00,,,,,,,,,
58,03-01-2019,11:00,,,,,,,,,
59,03-01-2019,12:00,15.13041,R,ugm-3,44.77102,R,ugm-3,67.97066,R,ugm-3
60,03-01-2019,13:00,20.0187,R,ugm-3,50.78632,R,ugm-3,81.48122,R,ugm-3
61,03-01-2019,14:00,22.46284,R,ugm-3,49.2208,R,ugm-3,83.66334,R,ugm-3
62,03-01-2019,15:00,16.26519,R,ugm-3,44.56318,R,ugm-3,69.50279,R,ugm-3
63,03-01-2019,16:00,13.3555,R,ugm-3,41.27116,R,ugm-3,61.7493,R,ugm-3
