,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,Ozone,status.3,unit.3
0,01-01-2019,01:00,1.1372,R,ugm-3,8.25841,R,ugm-3,10.00208,R,ugm-3,62.13279,R,ugm-3
1,01-01-2019,02:00,0.74355,R,ugm-3,8.12548,R,ugm-3,9.26558,R,ugm-3,62.93107,R,ugm-3
2,01-01-2019,03:00,0.72168,R,ugm-3,6.55748,R,ugm-3,7.66405,R,ugm-3,64.41122,R,ugm-3
3,01-01-2019,04:00,0.42645,R,ugm-3,4.64813,R,ugm-3,5.30201,R,ugm-3,66.45681,R,ugm-3
4,01-01-2019,05:00,0.8857,R,ugm-3,6.91755,R,ugm-3,8.2756,R,ugm-3,61.71702,R,ugm-3
5,01-01-2019,06:00,1.24654,R,ugm-3,10.53255,R,ugm-3,12.44388,R,ugm-3,53.28519,R,ugm-3
6,01-01-2019,07:00,1.54177,R,ugm-3,15.64791,R,ugm-3,18.01194,R,ugm-3,49.59315,R,ugm-3
7,01-01-2019,08:00,1.18093,R,ugm-3,20.77144,R,ugm-3,22.58218,R,ugm-3,41.36088,R,ugm-3
8,01-01-2019,09:00,1.54177,R,ugm-3,19.26773,R,ugm-3,21.63175,R,ugm-3,40.81207,R,ugm-3
9,01-01-2019,10:00,2.85392,R,ugm-3,20.49278,R,ugm-3,24.86873,R,ugm-3,37.9183,R,ugm-3
10,01-01-2019,11:00,1.50897,R,ugm-3,7.84107,R,ugm-3,10.15479,R,ugm-3,54.93164,R,ugm-3
11,01-01-2019,12:00,1.44336,R,ugm-3,7.73855,R,ugm-3,9.95167,R,ugm-3,56.62799,R,ugm-3
12,01-01-2019,13:00,1.34495,R,ugm-3,8.56718,R,ugm-3,10.62942,R,ugm-3,55.33078,R,ugm-3
13,01-01-2019,14:00,1.7386,R,ugm-3,11.40647,R,ugm-3,14.07228,R,ugm-3,51.73852,R,ugm-3
14,01-01-2019,15:00,1.7386,R,ugm-3,10.99291,R,ugm-3,13.65872,R,ugm-3,50.79057,R,ugm-3
15,01-01-2019,16:00,1.41056,R,ugm-3,15.80617,R,ugm-3,17.969,R,ugm-3,46.10067,R,ugm-3
16,01-01-2019,17:00,0.95131,R,ugm-3,13.38153,R,ugm-3,14.84018,R,ugm-3,49.79272,R,ugm-3
17,01-01-2019,18:00,0.78729,R,ugm-3,12.34946,R,ugm-3,13.55662,R,ugm-3,57.82541,R,ugm-3
18,01-01-2019,19:00,0.82009,R,ugm-3,8.78104,R,ugm-3,10.03849,R,ugm-3,60.86885,R,ugm-3
19,01-01-2019,20:00,0.9185,R,ugm-3,13.48581,R,ugm-3,14.89416,R,ugm-3,55.28089,R,ugm-3
20,01-01-2019,21:00,0.95131,R,ugm-3,10.07245,R,ugm-3,11.5311,R,ugm-3,53.33508,R,ugm-3
21,01-01-2019,22:00,0.78729,R,ugm-3,7.64401,R,ugm-3,8.85117,R,ugm-3,59.47186,R,ugm-3
22,01-01-2019,23:00,0.78729,R,ugm-3,9.50582,R,ugm-3,10.71298,R,ugm-3,58.5239,R,ugm-3
23,01-01-2019,24:00,1.01692,R,ugm-3,8.26193,R,ugm-3,9.82118,R,ugm-3,57.42627,R,ugm-3
24,02-01-2019,01:00,1.31288,R,ugm-3,13.84768,R,ugm-3,15.86073,R,ugm-3,51.48906,R,ugm-3
25,02-01-2019,02:00,0.56892,R,ugm-3,8.95987,R,ugm-3,9.8322,R,ugm-3,55.14784,R,ugm-3
26,02-01-2019,03:00,0.72208,R,ugm-3,5.21596,R,ugm-3,6.32314,R,ugm-3,62.86455,R,ugm-3
27,02-01-2019,04:00,0.2954,R,ugm-3,3.04858,R,ugm-3,3.50151,R,ugm-3,67.40477,R,ugm-3
28,02-01-2019,05:00,0.52515,R,ugm-3,2.8905,R,ugm-3,3.69572,R,ugm-3,66.25724,R,ugm-3
29,02-01-2019,06:00,0.91902,R,ugm-3,6.24834,R,ugm-3,7.65748,R,ugm-3,62.91444,R,ugm-3
30,02-01-2019,07:00,0.85337,R,ugm-3,13.33706,R,ugm-3,14.64554,R,ugm-3,55.92949,R,ugm-3
31,02-01-2019,08:00,1.57546,R,ugm-3,21.7611,R,ugm-3,24.17676,R,ugm-3,48.99444,R,ugm-3
32,02-01-2019,09:00,1.47699,R,ugm-3,20.36567,R,ugm-3,22.63036,R,ugm-3,48.14626,R,ugm-3
33,02-01-2019,10:00,2.396,R,ugm-3,23.04461,R,ugm-3,26.71843,R,ugm-3,45.80132,R,ugm-3
34,02-01-2019,11:00,1.73956,R,ugm-3,18.7589,R,ugm-3,21.4262,R,ugm-3,51.28949,R,ugm-3
35,02-01-2019,12:00,1.80521,R,ugm-3,16.89568,R,ugm-3,19.66363,R,ugm-3,53.83401,R,ugm-3
36,02-01-2019,13:00,2.03496,R,ugm-3,17.30687,R,ugm-3,20.4271,R,ugm-3,53.63444,R,ugm-3
37,02-01-2019,14:00,1.44417,R,ugm-3,12.65795,R,ugm-3,14.87231,R,ugm-3,58.97294,R,ugm-3
38,02-01-2019,15:00,1.31288,R,ugm-3,11.21104,R,ugm-3,13.22409,R,ugm-3,64.91014,R,ugm-3
39,02-01-2019,16:00,1.0503,R,ugm-3,19.75171,R,ugm-3,21.36216,R,ugm-3,53.13551,R,ugm-3
40,02-01-2019,17:00,1.9365,R,ugm-3,27.70889,R,ugm-3,30.67814,R,ugm-3,45.05293,R,ugm-3
41,02-01-2019,18:00,1.57546,R,ugm-3,29.99039,R,ugm-3,32.40606,R,ugm-3,40.31314,R,ugm-3
42,02-01-2019,19:00,1.44417,R,ugm-3,28.64707,R,ugm-3,30.86142,R,ugm-3,39.66454,R,ugm-3
