,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,Ozone,status.3,unit.3
0,01-01-2019,01:00,,,,,,,,,,60.20362,R,ugm-3
1,01-01-2019,02:00,,,,,,,,,,62.46541,R,ugm-3
2,01-01-2019,03:00,,,,,,,,,,65.55875,R,ugm-3
3,01-01-2019,04:00,,,,,,,,,,63.56305,R,ugm-3
4,01-01-2019,05:00,,,,,,,,,,54.73207,R,ugm-3
5,01-01-2019,06:00,,,,,,,,,,35.62325,R,ugm-3
6,01-01-2019,07:00,,,,,,,,,,32.33034,R,ugm-3
7,01-01-2019,08:00,,,,,,,,,,33.22841,R,ugm-3
8,01-01-2019,09:00,,,,,,,,,,21.65335,R,ugm-3
9,01-01-2019,10:00,,,,,,,,,,35.07443,R,ugm-3
10,01-01-2019,11:00,,,,,,,,,,44.30454,R,ugm-3
11,01-01-2019,12:00,,,,,,,,,,53.78412,R,ugm-3
12,01-01-2019,13:00,,,,,,,,,,54.88175,R,ugm-3
13,01-01-2019,14:00,,,,,,,,,,51.33938,R,ugm-3
14,01-01-2019,15:00,,,,,,,,,,46.5497,R,ugm-3
15,01-01-2019,16:00,,,,,,,,,,45.00304,R,ugm-3
16,01-01-2019,17:00,,,,,,,,,,36.82067,R,ugm-3
17,01-01-2019,18:00,,,,,,,,,,45.30239,R,ugm-3
18,01-01-2019,19:00,,,,,,,,,,45.20261,R,ugm-3
19,01-01-2019,20:00,,,,,,,,,,40.71228,R,ugm-3
20,01-01-2019,21:00,,,,,,,,,,51.08992,R,ugm-3
21,01-01-2019,22:00,,,,,,,,,,58.07487,R,ugm-3
22,01-01-2019,23:00,,,,,,,,,,54.03358,R,ugm-3
23,01-01-2019,24:00,,,,,,,,,,51.68863,R,ugm-3
24,02-01-2019,01:00,,,,,,,,,,50.82383,R,ugm-3
25,02-01-2019,02:00,,,,,,,,,,50.7573,R,ugm-3
26,02-01-2019,03:00,,,,,,,,,,44.90325,R,ugm-3
27,02-01-2019,04:00,,,,,,,,,,44.70368,R,ugm-3
28,02-01-2019,05:00,,,,,,,,,,48.99444,R,ugm-3
29,02-01-2019,06:00,,,,,,,,,,49.79272,R,ugm-3
30,02-01-2019,07:00,,,,,,,,,,39.21551,R,ugm-3
31,02-01-2019,08:00,,,,,,,,,,27.64045,R,ugm-3
32,02-01-2019,09:00,,,,,,,,,,23.74883,R,ugm-3
33,02-01-2019,10:00,,,,,,,,,,35.57335,R,ugm-3
34,02-01-2019,11:00,,,,,,,,,,39.914,R,ugm-3
35,02-01-2019,12:00,,,,,,,,,,48.19616,R,ugm-3
36,02-01-2019,13:00,,,,,,,,,,55.43057,R,ugm-3
37,02-01-2019,14:00,1.20572,R,ugm-3,20.0175,R,ugm-3,21.86625,R,ugm-3,59.97079,R,ugm-3
38,02-01-2019,15:00,2.18278,R,ugm-3,20.94188,R,ugm-3,24.28875,R,ugm-3,59.12261,R,ugm-3
39,02-01-2019,16:00,1.06021,R,ugm-3,28.20938,R,ugm-3,29.835,R,ugm-3,50.99014,R,ugm-3
40,02-01-2019,17:00,0.96666,R,ugm-3,29.35688,R,ugm-3,30.83906,R,ugm-3,51.13981,R,ugm-3
41,02-01-2019,18:00,1.09139,R,ugm-3,29.59594,R,ugm-3,31.26938,R,ugm-3,51.58885,R,ugm-3
42,02-01-2019,19:00,1.30967,R,ugm-3,39.58875,R,ugm-3,41.59688,R,ugm-3,39.96389,R,ugm-3
43,02-01-2019,20:00,1.40321,R,ugm-3,43.70063,R,ugm-3,45.85219,R,ugm-3,34.67529,R,ugm-3
44,02-01-2019,21:00,1.27848,R,ugm-3,42.74438,R,ugm-3,44.70469,R,ugm-3,32.6297,R,ugm-3
45,02-01-2019,22:00,1.18494,R,ugm-3,38.77594,R,ugm-3,40.59281,R,ugm-3,33.17851,R,ugm-3
46,02-01-2019,23:00,1.02902,R,ugm-3,31.41281,R,ugm-3,32.99063,R,ugm-3,37.02024,R,ugm-3
47,02-01-2019,24:00,1.09139,R,ugm-3,37.24594,R,ugm-3,38.91938,R,ugm-3,29.98539,R,ugm-3
48,03-01-2019,01:00,4.48044,R,ugm-3,35.44528,R,ugm-3,42.31519,R,ugm-3,31.26597,R,ugm-3
49,03-01-2019,02:00,1.41051,R,ugm-3,28.18965,R,ugm-3,30.3524,R,ugm-3,36.45479,R,ugm-3
50,03-01-2019,03:00,0.90231,R,ugm-3,20.04451,R,ugm-3,21.42803,R,ugm-3,48.69508,R,ugm-3
51,03-01-2019,04:00,0.80897,R,ugm-3,17.61054,R,ugm-3,18.85094,R,ugm-3,50.74067,R,ugm-3
52,03-01-2019,05:00,0.80897,R,ugm-3,21.04666,R,ugm-3,22.28706,R,ugm-3,47.64734,R,ugm-3
53,03-01-2019,06:00,1.02677,R,ugm-3,20.76043,R,ugm-3,22.33478,R,ugm-3,51.78842,R,ugm-3
54,03-01-2019,07:00,1.089,R,ugm-3,28.87352,R,ugm-3,30.54329,R,ugm-3,44.50411,R,ugm-3
55,03-01-2019,08:00,2.05354,R,ugm-3,44.52746,R,ugm-3,47.67617,R,ugm-3,32.87916,R,ugm-3
56,03-01-2019,09:00,2.45802,R,ugm-3,42.42782,R,ugm-3,46.19673,R,ugm-3,36.22196,R,ugm-3
57,03-01-2019,10:00,1.5246,R,ugm-3,23.86274,R,ugm-3,26.20042,R,ugm-3,56.22885,R,ugm-3
58,03-01-2019,11:00,1.43125,R,ugm-3,17.46769,R,ugm-3,19.66225,R,ugm-3,64.01208,R,ugm-3
59,03-01-2019,12:00,1.24457,R,ugm-3,15.51091,R,ugm-3,17.41922,R,ugm-3,65.25939,R,ugm-3
60,03-01-2019,13:00,1.55571,R,ugm-3,17.22914,R,ugm-3,19.61452,R,ugm-3,64.41122,R,ugm-3
61,03-01-2019,14:00,1.5246,R,ugm-3,17.03822,R,ugm-3,19.3759,R,ugm-3,64.61079,R,ugm-3
62,03-01-2019,15:00,1.24457,R,ugm-3,19.04248,R,ugm-3,20.95079,R,ugm-3,61.76692,R,ugm-3
63,03-01-2019,16:00,1.12011,R,ugm-3,20.66503,R,ugm-3,22.38251,R,ugm-3,60.07057,R,ugm-3
64,03-01-2019,17:00,1.77351,R,ugm-3,24.29239,R,ugm-3,27.01173,R,ugm-3,55.03143,R,ugm-3
65,03-01-2019,18:00,2.02242,R,ugm-3,42.76166,R,ugm-3,45.86266,R,ugm-3,36.22196,R,ugm-3
66,03-01-2019,19:00,2.58248,R,ugm-3,38.99177,R,ugm-3,42.95151,R,ugm-3,38.96604,R,ugm-3
67,03-01-2019,20:00,1.68017,R,ugm-3,41.71156,R,ugm-3,44.28778,R,ugm-3,33.37808,R,ugm-3
68,03-01-2019,21:00,1.96019,R,ugm-3,40.99585,R,ugm-3,44.00143,R,ugm-3,29.58625,R,ugm-3
69,03-01-2019,22:00,2.08465,R,ugm-3,46.72278,R,ugm-3,49.9192,R,ugm-3,21.25421,R,ugm-3
70,03-01-2019,23:00,3.04919,R,ugm-3,55.79082,R,ugm-3,60.46618,R,ugm-3,11.3256,R,ugm-3
71,03-01-2019,24:00,2.17799,R,ugm-3,52.30652,R,ugm-3,55.64606,R,ugm-3,10.87657,R,ugm-3
72,04-01-2019,01:00,2.56646,R,ugm-3,53.29069,R,ugm-3,57.22587,R,ugm-3,8.04932,R,ugm-3
73,04-01-2019,02:00,2.35948,R,ugm-3,48.781,R,ugm-3,52.39882,R,ugm-3,10.71026,R,ugm-3
74,04-01-2019,03:00,3.84968,R,ugm-3,50.49742,R,ugm-3,56.40019,R,ugm-3,8.98065,R,ugm-3
75,04-01-2019,04:00,3.60132,R,ugm-3,45.35255,R,ugm-3,50.87449,R,ugm-3,13.92001,R,ugm-3
76,04-01-2019,05:00,2.32844,R,ugm-3,32.4897,R,ugm-3,36.05992,R,ugm-3,25.14582,R,ugm-3
77,04-01-2019,06:00,3.57027,R,ugm-3,28.87071,R,ugm-3,34.34505,R,ugm-3,28.73808,R,ugm-3
78,04-01-2019,07:00,2.04903,R,ugm-3,32.91812,R,ugm-3,36.05992,R,ugm-3,22.90066,R,ugm-3
79,04-01-2019,08:00,9.0033,R,ugm-3,45.2629,R,ugm-3,59.06776,R,ugm-3,14.11958,R,ugm-3
80,04-01-2019,09:00,37.7207,R,ugm-3,60.48847,R,ugm-3,118.32607,R,ugm-3,2.34495,R,ugm-3
81,04-01-2019,10:00,33.49847,R,ugm-3,56.95906,R,ugm-3,108.32266,R,ugm-3,6.93506,R,ugm-3
82,04-01-2019,11:00,23.09811,R,ugm-3,46.84955,R,ugm-3,82.26615,R,ugm-3,13.52087,R,ugm-3
83,04-01-2019,12:00,21.20431,R,ugm-3,43.94182,R,ugm-3,76.45465,R,ugm-3,19.35829,R,ugm-3
84,04-01-2019,13:00,9.56212,R,ugm-3,32.06851,R,ugm-3,46.73022,R,ugm-3,32.6297,R,ugm-3
85,04-01-2019,14:00,3.01145,R,ugm-3,19.91469,R,ugm-3,24.53218,R,ugm-3,47.79702,R,ugm-3
86,04-01-2019,15:00,2.54576,R,ugm-3,22.62942,R,ugm-3,26.53286,R,ugm-3,47.09852,R,ugm-3
87,04-01-2019,16:00,2.51471,R,ugm-3,30.3463,R,ugm-3,34.20214,R,ugm-3,38.41723,R,ugm-3
88,04-01-2019,17:00,2.32844,R,ugm-3,46.16102,R,ugm-3,49.73125,R,ugm-3,22.75098,R,ugm-3
