,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,PM<sub>2.5</sub> particulate matter (Hourly measured),status.3,unit.3
0,01-01-2019,01:00,0.76126,R,ugm-3,19.18247,R,ugm-3,20.34973,R,ugm-3,16.0,R,ugm-3 (BAM)
1,01-01-2019,02:00,4.39841,R,ugm-3,24.11962,R,ugm-3,30.86375,R,ugm-3,16.0,R,ugm-3 (BAM)
2,01-01-2019,03:00,1.39565,R,ugm-3,17.95539,R,ugm-3,20.09535,R,ugm-3,6.0,R,ugm-3 (BAM)
3,01-01-2019,04:00,1.77628,R,ugm-3,16.60865,R,ugm-3,19.33224,R,ugm-3,7.0,R,ugm-3 (BAM)
4,01-01-2019,05:00,2.41066,R,ugm-3,22.0461,R,ugm-3,25.7424,R,ugm-3,7.0,R,ugm-3 (BAM)
5,01-01-2019,06:00,1.71284,R,ugm-3,27.18603,R,ugm-3,29.81235,R,ugm-3,10.0,R,ugm-3 (BAM)
6,01-01-2019,07:00,9.29375,R,ugm-3,37.43809,R,ugm-3,51.6883,R,ugm-3,10.0,R,ugm-3 (BAM)
7,01-01-2019,08:00,6.0901,R,ugm-3,41.38367,R,ugm-3,50.72169,R,ugm-3,10.0,R,ugm-3 (BAM)
8,01-01-2019,09:00,7.96154,R,ugm-3,44.16122,R,ugm-3,56.36874,R,ugm-3,8.0,R,ugm-3 (BAM)
9,01-01-2019,10:00,9.19859,R,ugm-3,39.11023,R,ugm-3,53.21453,R,ugm-3,8.0,R,ugm-3 (BAM)
10,01-01-2019,11:00,17.287,R,ugm-3,42.4792,R,ugm-3,68.98557,R,ugm-3,10.0,R,ugm-3 (BAM)
11,01-01-2019,12:00,16.68433,R,ugm-3,38.06148,R,ugm-3,63.64376,R,ugm-3,9.0,R,ugm-3 (BAM)
