,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Ozone,status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5
0,01-01-2019,01:00,19.328,R,ugm-3 (FIDAS),1.23258,R,ugm-3,7.599,R,ugm-3,9.48892,R,ugm-3,55.14784,R,ugm-3,14.741,R,ugm-3 (Ref.eq)
1,01-01-2019,02:00,16.705,R,ugm-3 (FIDAS),2.09539,R,ugm-3,16.62204,R,ugm-3,19.83491,R,ugm-3,50.55773,R,ugm-3,11.408,R,ugm-3 (Ref.eq)
2,01-01-2019,03:00,10.074,R,ugm-3 (FIDAS),1.07851,R,ugm-3,8.44743,R,ugm-3,10.10111,R,ugm-3,60.02068,R,ugm-3,5.407,R,ugm-3 (Ref.eq)
3,01-01-2019,04:00,10.326,R,ugm-3 (FIDAS),0.95525,R,ugm-3,5.83566,R,ugm-3,7.30035,R,ugm-3,60.66928,R,ugm-3,5.503,R,ugm-3 (Ref.eq)
4,01-01-2019,05:00,9.708,R,ugm-3 (FIDAS),0.61629,R,ugm-3,10.02852,R,ugm-3,10.97348,R,ugm-3,50.09207,R,ugm-3,5.755,R,ugm-3 (Ref.eq)
5,01-01-2019,06:00,9.518,R,ugm-3 (FIDAS),0.61629,R,ugm-3,15.03316,R,ugm-3,15.97813,R,ugm-3,43.05723,R,ugm-3,5.527,R,ugm-3 (Ref.eq)
6,01-01-2019,07:00,9.802,R,ugm-3 (FIDAS),0.55466,R,ugm-3,18.57122,R,ugm-3,19.42169,R,ugm-3,38.01809,R,ugm-3,5.667,R,ugm-3 (Ref.eq)
7,01-01-2019,08:00,8.935,R,ugm-3 (FIDAS),0.77036,R,ugm-3,20.2607,R,ugm-3,21.44191,R,ugm-3,36.42153,R,ugm-3,5.512,R,ugm-3 (Ref.eq)
8,01-01-2019,09:00,9.508,R,ugm-3 (FIDAS),1.29421,R,ugm-3,21.52362,R,ugm-3,23.50805,R,ugm-3,33.62755,R,ugm-3,5.576,R,ugm-3 (Ref.eq)
9,01-01-2019,10:00,9.294,R,ugm-3 (FIDAS),1.87968,R,ugm-3,18.88117,R,ugm-3,21.76331,R,ugm-3,35.02454,R,ugm-3,5.78,R,ugm-3 (Ref.eq)
10,01-01-2019,11:00,9.06,R,ugm-3 (FIDAS),3.66692,R,ugm-3,16.92131,R,ugm-3,22.54385,R,ugm-3,38.91615,R,ugm-3,5.616,R,ugm-3 (Ref.eq)
