,Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status.1,unit.1,Nitric oxide,status.2,unit.2,Nitrogen dioxide,status.3,unit.3,Nitrogen oxides as nitrogen dioxide,status.4,unit.4,Ozone,status.5,unit.5,PM<sub>2.5</sub> particulate matter (Hourly measured),status.6,unit.6,Sulphur dioxide,status.7,unit.7,Black carbon,status.8,unit.8,UV Particulate Matter,status.9,unit.9
0,01-01-2019,01:00,0.104272,R,mgm-3,21.275,R,ugm-3 (FIDAS),0.47523,R,ugm-3,18.87596,R,ugm-3,19.60464,R,ugm-3,49.8925,R,ugm-3,15.849,R,ugm-3 (Ref.eq),1.62547,R,ugm-3,0.6,R,ugm-3,0.3,R,ugm-3
1,01-01-2019,02:00,0.084962,R,mgm-3,12.775,R,ugm-3 (FIDAS),0.38018,R,ugm-3,19.75871,R,ugm-3,20.34165,R,ugm-3,52.48691,R,ugm-3,8.726,R,ugm-3 (Ref.eq),0.91433,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3
2,01-01-2019,03:00,0.081101,R,mgm-3,8.8,R,ugm-3 (FIDAS),0.78413,R,ugm-3,21.51622,R,ugm-3,22.71853,R,ugm-3,51.38928,R,ugm-3,4.859,R,ugm-3 (Ref.eq),1.06672,R,ugm-3,0.3,R,ugm-3,0.0,R,ugm-3
3,01-01-2019,04:00,0.075307,R,mgm-3,9.525,R,ugm-3 (FIDAS),0.60592,R,ugm-3,21.12616,R,ugm-3,22.05522,R,ugm-3,50.49121,R,ugm-3,5.071,R,ugm-3 (Ref.eq),1.06672,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3
4,01-01-2019,05:00,0.083997,R,mgm-3,9.425,R,ugm-3 (FIDAS),0.57028,R,ugm-3,25.71346,R,ugm-3,26.58787,R,ugm-3,43.85551,R,ugm-3,5.212,R,ugm-3 (Ref.eq),0.99052,R,ugm-3,0.4,R,ugm-3,0.0,R,ugm-3
5,01-01-2019,06:00,0.098479,R,mgm-3,9.825,R,ugm-3 (FIDAS),0.42771,R,ugm-3,30.85165,R,ugm-3,31.50745,R,ugm-3,37.66884,R,ugm-3,5.708,R,ugm-3 (Ref.eq),1.2953,R,ugm-3,0.4,R,ugm-3,0.2,R,ugm-3
6,01-01-2019,07:00,0.101375,R,mgm-3,9.8,R,ugm-3 (FIDAS),0.42771,R,ugm-3,26.98231,R,ugm-3,27.63812,R,ugm-3,37.16991,R,ugm-3,5.943,R,ugm-3 (Ref.eq),1.44769,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3
7,01-01-2019,08:00,0.115858,R,mgm-3,9.55,R,ugm-3 (FIDAS),0.57028,R,ugm-3,35.49735,R,ugm-3,36.37176,R,ugm-3,28.83787,R,ugm-3,5.826,R,ugm-3 (Ref.eq),1.2953,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3
8,01-01-2019,09:00,0.13034,R,mgm-3,9.575,R,ugm-3 (FIDAS),0.89106,R,ugm-3,33.78942,R,ugm-3,35.15568,R,ugm-3,29.13722,R,ugm-3,5.873,R,ugm-3 (Ref.eq),0.76194,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3
9,01-01-2019,10:00,0.136132,R,mgm-3,9.075,R,ugm-3 (FIDAS),1.92468,R,ugm-3,29.10908,R,ugm-3,32.06022,R,ugm-3,31.58195,R,ugm-3,5.778,R,ugm-3 (Ref.eq),1.14291,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3
10,01-01-2019,11:00,0.147718,R,mgm-3,9.625,R,ugm-3 (FIDAS),3.74243,R,ugm-3,23.50281,R,ugm-3,29.24113,R,ugm-3,37.12002,R,ugm-3,5.59,R,ugm-3 (Ref.eq),1.14291,R,ugm-3,0.6,R,ugm-3,0.1,R,ugm-3
11,01-01-2019,12:00,0.159304,R,mgm-3,7.4,R,ugm-3 (FIDAS),1.88904,R,ugm-3,14.40498,R,ugm-3,17.30146,R,ugm-3,49.04433,R,ugm-3,4.552,R,ugm-3 (Ref.eq),1.06672,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3
12,01-01-2019,13:00,0.107168,R,mgm-3,5.75,R,ugm-3 (FIDAS),0.96234,R,ugm-3,9.63496,R,ugm-3,11.11052,R,ugm-3,55.68003,R,ugm-3,4.08,R,ugm-3 (Ref.eq),0.76194,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3
13,01-01-2019,14:00,0.112961,R,mgm-3,5.575,R,ugm-3 (FIDAS),0.96234,R,ugm-3,10.13244,R,ugm-3,11.60801,R,ugm-3,54.5824,R,ugm-3,3.939,R,ugm-3 (Ref.eq),1.44769,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3
14,01-01-2019,15:00,0.124547,R,mgm-3,6.0,R,ugm-3 (FIDAS),2.10289,R,ugm-3,19.21776,R,ugm-3,22.44215,R,ugm-3,43.75572,R,ugm-3,4.269,R,ugm-3 (Ref.eq),-0.15239,R,ugm-3,0.4,R,ugm-3,0.2,R,ugm-3
15,01-01-2019,16:00,0.156408,R,mgm-3,7.4,R,ugm-3 (FIDAS),2.42367,R,ugm-3,24.03243,R,ugm-3,27.74867,R,ugm-3,37.31959,R,ugm-3,5.59,R,ugm-3 (Ref.eq),0.60955,R,ugm-3,0.7,R,ugm-3,0.4,R,ugm-3
16,01-01-2019,17:00,0.170889,R,mgm-3,8.9,R,ugm-3 (FIDAS),1.46133,R,ugm-3,22.96529,R,ugm-3,25.20596,R,ugm-3,42.85766,R,ugm-3,6.109,R,ugm-3 (Ref.eq),0.99052,R,ugm-3,0.9,R,ugm-3,0.4,R,ugm-3
17,01-01-2019,18:00,0.150615,R,mgm-3,13.2,R,ugm-3 (FIDAS),1.10491,R,ugm-3,18.92386,R,ugm-3,20.61804,R,ugm-3,57.32648,R,ugm-3,7.642,R,ugm-3 (Ref.eq),0.83813,R,ugm-3,0.4,R,ugm-3,0.2,R,ugm-3
18,01-01-2019,19:00,0.156408,R,mgm-3,15.75,R,ugm-3 (FIDAS),1.31876,R,ugm-3,22.29947,R,ugm-3,24.32154,R,ugm-3,52.38713,R,ugm-3,8.491,R,ugm-3 (Ref.eq),0.22858,R,ugm-3,0.5,R,ugm-3,0.3,R,ugm-3
