,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Volatile PM<sub>10</sub> (Hourly measured),status.5,unit.5
0,01-01-2019,01:00,20.5,R,ugm-3 (TEOM FDMS),9.53785,R,ugm-3,28.43121,R,ugm-3,43.05572,R,ugm-3,19.1,R,ugm-3 (TEOM FDMS),1.4,R,ugm-3 (TEOM FDMS)
1,01-01-2019,02:00,23.5,R,ugm-3 (TEOM FDMS),15.09784,R,ugm-3,35.61511,R,ugm-3,58.7648,R,ugm-3,19.6,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS)
2,01-01-2019,03:00,14.8,R,ugm-3 (TEOM FDMS),13.66264,R,ugm-3,31.43118,R,ugm-3,52.38026,R,ugm-3,11.3,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS)
3,01-01-2019,04:00,15.1,R,ugm-3 (TEOM FDMS),9.66216,R,ugm-3,23.69331,R,ugm-3,38.50842,R,ugm-3,12.1,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS)
4,01-01-2019,05:00,16.0,R,ugm-3 (TEOM FDMS),11.32338,R,ugm-3,26.05681,R,ugm-3,43.41907,R,ugm-3,11.7,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS)
5,01-01-2019,06:00,17.3,R,ugm-3 (TEOM FDMS),9.39094,R,ugm-3,31.07791,R,ugm-3,45.47715,R,ugm-3,13.2,R,ugm-3 (TEOM FDMS),4.1,R,ugm-3 (TEOM FDMS)
6,01-01-2019,07:00,16.6,R,ugm-3 (TEOM FDMS),2.30536,R,ugm-3,30.48623,R,ugm-3,34.02107,R,ugm-3,15.0,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
7,01-01-2019,08:00,18.2,R,ugm-3 (TEOM FDMS),8.06875,R,ugm-3,34.18936,R,ugm-3,46.56127,R,ugm-3,16.0,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
8,01-01-2019,09:00,14.5,R,ugm-3 (TEOM FDMS),2.33926,R,ugm-3,32.18394,R,ugm-3,35.77076,R,ugm-3,11.9,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
9,01-01-2019,10:00,11.2,R,ugm-3 (TEOM FDMS),5.69559,R,ugm-3,28.8689,R,ugm-3,37.60202,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS)
10,01-01-2019,11:00,13.4,R,ugm-3 (TEOM FDMS),7.66193,R,ugm-3,28.11625,R,ugm-3,39.86438,R,ugm-3,12.8,R,ugm-3 (TEOM FDMS),0.6,R,ugm-3 (TEOM FDMS)
11,01-01-2019,12:00,12.9,R,ugm-3 (TEOM FDMS),11.6285,R,ugm-3,26.88399,R,ugm-3,44.71411,R,ugm-3,11.1,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS)
12,01-01-2019,13:00,11.8,R,ugm-3 (TEOM FDMS),17.62921,R,ugm-3,31.79272,R,ugm-3,58.8238,R,ugm-3,9.4,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
13,01-01-2019,14:00,13.1,R,ugm-3 (TEOM FDMS),17.86653,R,ugm-3,38.74391,R,ugm-3,66.13887,R,ugm-3,11.3,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS)
14,01-01-2019,15:00,13.0,R,ugm-3 (TEOM FDMS),16.78165,R,ugm-3,35.56433,R,ugm-3,61.29583,R,ugm-3,10.8,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
15,01-01-2019,16:00,16.2,R,ugm-3 (TEOM FDMS),26.3082,R,ugm-3,44.54543,R,ugm-3,84.88411,R,ugm-3,11.4,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS)
16,01-01-2019,17:00,14.6,R,ugm-3 (TEOM FDMS),21.12115,R,ugm-3,36.19576,R,ugm-3,68.58107,R,ugm-3,13.3,R,ugm-3 (TEOM FDMS),1.3,R,ugm-3 (TEOM FDMS)
17,01-01-2019,18:00,17.9,R,ugm-3 (TEOM FDMS),19.66335,R,ugm-3,30.66056,R,ugm-3,60.8106,R,ugm-3,16.2,R,ugm-3 (TEOM FDMS),1.7,R,ugm-3 (TEOM FDMS)
18,01-01-2019,19:00,21.5,R,ugm-3 (TEOM FDMS),22.30773,R,ugm-3,31.93686,R,ugm-3,66.14157,R,ugm-3,19.3,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
19,01-01-2019,20:00,18.9,R,ugm-3 (TEOM FDMS),22.61285,R,ugm-3,26.9597,R,ugm-3,61.63225,R,ugm-3,16.7,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
20,01-01-2019,21:00,13.5,R,ugm-3 (TEOM FDMS),17.01897,R,ugm-3,26.21311,R,ugm-3,52.3085,R,ugm-3,12.0,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
21,01-01-2019,22:00,12.8,R,ugm-3 (TEOM FDMS),17.62921,R,ugm-3,26.76493,R,ugm-3,53.79601,R,ugm-3,12.4,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS)
22,01-01-2019,23:00,16.3,R,ugm-3 (TEOM FDMS),16.91726,R,ugm-3,22.21861,R,ugm-3,48.15805,R,ugm-3,14.2,R,ugm-3 (TEOM FDMS),2.1,R,ugm-3 (TEOM FDMS)
23,01-01-2019,24:00,16.2,R,ugm-3 (TEOM FDMS),20.00237,R,ugm-3,32.52803,R,ugm-3,63.1979,R,ugm-3,14.7,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
24,02-01-2019,01:00,13.9,R,ugm-3 (TEOM FDMS),28.14376,R,ugm-3,34.84947,R,ugm-3,78.00264,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),-0.1,R,ugm-3 (TEOM FDMS)
25,02-01-2019,02:00,17.1,R,ugm-3 (TEOM FDMS),13.25743,R,ugm-3,25.19742,R,ugm-3,45.5252,R,ugm-3,15.6,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
26,02-01-2019,03:00,13.9,R,ugm-3 (TEOM FDMS),6.85495,R,ugm-3,21.564,R,ugm-3,32.07478,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),-0.1,R,ugm-3 (TEOM FDMS)
27,02-01-2019,04:00,18.4,R,ugm-3 (TEOM FDMS),6.6174,R,ugm-3,15.81236,R,ugm-3,25.9589,R,ugm-3,15.8,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
28,02-01-2019,05:00,16.9,R,ugm-3 (TEOM FDMS),11.74165,R,ugm-3,24.82515,R,ugm-3,42.82876,R,ugm-3,15.6,R,ugm-3 (TEOM FDMS),1.3,R,ugm-3 (TEOM FDMS)
29,02-01-2019,06:00,16.1,R,ugm-3 (TEOM FDMS),22.87246,R,ugm-3,39.18652,R,ugm-3,74.25714,R,ugm-3,15.9,R,ugm-3 (TEOM FDMS),0.2,R,ugm-3 (TEOM FDMS)
30,02-01-2019,07:00,21.9,R,ugm-3 (TEOM FDMS),108.76297,R,ugm-3,85.48119,R,ugm-3,252.24876,R,ugm-3,19.9,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
31,02-01-2019,08:00,24.7,R,ugm-3 (TEOM FDMS),56.40064,R,ugm-3,63.92401,R,ugm-3,150.40379,R,ugm-3,24.3,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS)
32,02-01-2019,09:00,22.2,R,ugm-3 (TEOM FDMS),61.42308,R,ugm-3,66.14602,R,ugm-3,160.32677,R,ugm-3,22.5,R,ugm-3 (TEOM FDMS),-0.3,R,ugm-3 (TEOM FDMS)
33,02-01-2019,10:00,24.7,R,ugm-3 (TEOM FDMS),68.54952,R,ugm-3,84.43037,R,ugm-3,189.53816,R,ugm-3,23.7,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS)
34,02-01-2019,11:00,28.8,R,ugm-3 (TEOM FDMS),88.91076,R,ugm-3,91.39913,R,ugm-3,227.72707,R,ugm-3,25.2,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS)
35,02-01-2019,12:00,31.7,R,ugm-3 (TEOM FDMS),89.58947,R,ugm-3,81.21631,R,ugm-3,218.58491,R,ugm-3,29.3,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS)
36,02-01-2019,13:00,30.5,R,ugm-3 (TEOM FDMS),94.67978,R,ugm-3,92.69745,R,ugm-3,237.87108,R,ugm-3,27.7,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
37,02-01-2019,14:00,25.7,R,ugm-3 (TEOM FDMS),74.65789,R,ugm-3,84.31023,R,ugm-3,198.78406,R,ugm-3,22.9,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
38,02-01-2019,15:00,21.4,R,ugm-3 (TEOM FDMS),83.07387,R,ugm-3,75.48648,R,ugm-3,202.86465,R,ugm-3,20.5,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
39,02-01-2019,16:00,20.9,R,ugm-3 (TEOM FDMS),73.60589,R,ugm-3,70.06393,R,ugm-3,182.92473,R,ugm-3,18.2,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
40,02-01-2019,17:00,24.2,R,ugm-3 (TEOM FDMS),74.8615,R,ugm-3,81.03039,R,ugm-3,195.81643,R,ugm-3,20.9,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
41,02-01-2019,18:00,22.2,R,ugm-3 (TEOM FDMS),62.13573,R,ugm-3,65.39798,R,ugm-3,160.67143,R,ugm-3,20.9,R,ugm-3 (TEOM FDMS),1.3,R,ugm-3 (TEOM FDMS)
42,02-01-2019,19:00,21.7,R,ugm-3 (TEOM FDMS),61.25341,R,ugm-3,66.43539,R,ugm-3,160.35597,R,ugm-3,19.5,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS)
43,02-01-2019,20:00,25.4,R,ugm-3 (TEOM FDMS),73.40228,R,ugm-3,72.75441,R,ugm-3,185.30301,R,ugm-3,24.5,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
44,02-01-2019,21:00,23.3,R,ugm-3 (TEOM FDMS),47.17021,R,ugm-3,66.30144,R,ugm-3,138.62809,R,ugm-3,20.1,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
45,02-01-2019,22:00,23.1,R,ugm-3 (TEOM FDMS),34.51231,R,ugm-3,56.64003,R,ugm-3,109.55816,R,ugm-3,19.9,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
