,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2
0,01-01-2019,01:00,19.87975,R,ugm-3,55.94581,R,ugm-3,86.42767,R,ugm-3
1,01-01-2019,02:00,26.63691,R,ugm-3,54.4874,R,ugm-3,95.33009,R,ugm-3
2,01-01-2019,03:00,15.79118,R,ugm-3,46.06068,R,ugm-3,70.27348,R,ugm-3
3,01-01-2019,04:00,18.50873,R,ugm-3,45.23223,R,ugm-3,73.61189,R,ugm-3
4,01-01-2019,05:00,16.48893,R,ugm-3,48.38486,R,ugm-3,73.66753,R,ugm-3
5,01-01-2019,06:00,17.59064,R,ugm-3,50.3122,R,ugm-3,77.28414,R,ugm-3
6,01-01-2019,07:00,18.03133,R,ugm-3,50.86058,R,ugm-3,78.50822,R,ugm-3
7,01-01-2019,08:00,13.11035,R,ugm-3,46.77717,R,ugm-3,66.87944,R,ugm-3
8,01-01-2019,09:00,13.62448,R,ugm-3,43.70761,R,ugm-3,64.59819,R,ugm-3
9,01-01-2019,10:00,12.5595,R,ugm-3,41.94651,R,ugm-3,61.20414,R,ugm-3
10,01-01-2019,11:00,18.17822,R,ugm-3,46.74053,R,ugm-3,74.61341,R,ugm-3
11,01-01-2019,12:00,18.36184,R,ugm-3,42.4529,R,ugm-3,70.60732,R,ugm-3
12,01-01-2019,13:00,14.83637,R,ugm-3,40.51405,R,ugm-3,63.26283,R,ugm-3
13,01-01-2019,14:00,25.44951,R,ugm-3,40.37643,R,ugm-3,79.39846,R,ugm-3
14,01-01-2019,15:00,18.50873,R,ugm-3,37.49825,R,ugm-3,65.87791,R,ugm-3
15,01-01-2019,16:00,23.76022,R,ugm-3,43.63432,R,ugm-3,80.06615,R,ugm-3
16,01-01-2019,17:00,32.83097,R,ugm-3,47.14139,R,ugm-3,97.4815,R,ugm-3
17,01-01-2019,18:00,23.5766,R,ugm-3,45.13994,R,ugm-3,81.29023,R,ugm-3
18,01-01-2019,19:00,29.41567,R,ugm-3,51.71043,R,ugm-3,96.81382,R,ugm-3
19,01-01-2019,20:00,38.11918,R,ugm-3,61.45589,R,ugm-3,119.90448,R,ugm-3
20,01-01-2019,21:00,27.54276,R,ugm-3,50.96558,R,ugm-3,93.19722,R,ugm-3
21,01-01-2019,22:00,23.09919,R,ugm-3,48.1532,R,ugm-3,83.57147,R,ugm-3
22,01-01-2019,23:00,15.68101,R,ugm-3,38.88511,R,ugm-3,62.92898,R,ugm-3
23,01-01-2019,24:00,21.33646,R,ugm-3,47.40634,R,ugm-3,80.12179,R,ugm-3
24,02-01-2019,01:00,20.57382,R,ugm-3,41.46114,R,ugm-3,73.00722,R,ugm-3
25,02-01-2019,02:00,16.49834,R,ugm-3,43.92236,R,ugm-3,69.21946,R,ugm-3
26,02-01-2019,03:00,17.30852,R,ugm-3,42.81007,R,ugm-3,69.34943,R,ugm-3
27,02-01-2019,04:00,7.8809,R,ugm-3,32.81222,R,ugm-3,44.8961,R,ugm-3
28,02-01-2019,05:00,10.71655,R,ugm-3,37.65517,R,ugm-3,54.08698,R,ugm-3
29,02-01-2019,06:00,12.96298,R,ugm-3,41.06209,R,ugm-3,60.93837,R,ugm-3
30,02-01-2019,07:00,29.27718,R,ugm-3,55.15038,R,ugm-3,100.04143,R,ugm-3
31,02-01-2019,08:00,39.55181,R,ugm-3,66.07759,R,ugm-3,126.72285,R,ugm-3
32,02-01-2019,09:00,40.73027,R,ugm-3,61.93115,R,ugm-3,124.38335,R,ugm-3
33,02-01-2019,10:00,50.08423,R,ugm-3,70.20376,R,ugm-3,146.99851,R,ugm-3
34,02-01-2019,11:00,52.84623,R,ugm-3,67.0271,R,ugm-3,148.05685,R,ugm-3
35,02-01-2019,12:00,47.10128,R,ugm-3,66.81212,R,ugm-3,139.03307,R,ugm-3
36,02-01-2019,13:00,48.57434,R,ugm-3,69.17675,R,ugm-3,143.65637,R,ugm-3
37,02-01-2019,14:00,56.49207,R,ugm-3,71.74182,R,ugm-3,158.36179,R,ugm-3
