,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5,Volatile PM<sub>2.5</sub> (Hourly measured),status.6,unit.6
0,0,01-01-2020,01:00,,,,12.52753,R,ugm-3,39.26956,R,ugm-3,58.47817,R,ugm-3,33.1,R,ugm-3 (TEOM FDMS),38.0,R,ugm-3 (TEOM FDMS),10.9,R,ugm-3 (TEOM FDMS)
1,1,01-01-2020,02:00,,,,17.04855,R,ugm-3,38.97559,R,ugm-3,65.11634,R,ugm-3,44.1,R,ugm-3 (TEOM FDMS),48.1,R,ugm-3 (TEOM FDMS),10.0,R,ugm-3 (TEOM FDMS)
2,2,01-01-2020,03:00,,,,17.95781,R,ugm-3,35.71261,R,ugm-3,63.24753,R,ugm-3,42.4,R,ugm-3 (TEOM FDMS),46.9,R,ugm-3 (TEOM FDMS),10.5,R,ugm-3 (TEOM FDMS)
3,3,01-01-2020,04:00,,,,27.99751,R,ugm-3,36.8459,R,ugm-3,79.77482,R,ugm-3,41.0,R,ugm-3 (TEOM FDMS),46.1,R,ugm-3 (TEOM FDMS),11.1,R,ugm-3 (TEOM FDMS)
4,4,01-01-2020,05:00,,,,31.36933,R,ugm-3,31.90945,R,ugm-3,80.00842,R,ugm-3,34.4,R,ugm-3 (TEOM FDMS),39.6,R,ugm-3 (TEOM FDMS),11.2,R,ugm-3 (TEOM FDMS)
5,5,01-01-2020,06:00,,,,39.55264,R,ugm-3,33.55316,R,ugm-3,94.19969,R,ugm-3,32.5,R,ugm-3 (TEOM FDMS),34.3,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS)
6,6,01-01-2020,07:00,,,,25.80014,R,ugm-3,35.54313,R,ugm-3,75.10279,R,ugm-3,26.9,R,ugm-3 (TEOM FDMS),28.4,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS)
7,7,01-01-2020,08:00,,,,22.12523,R,ugm-3,34.28668,R,ugm-3,68.21156,R,ugm-3,24.1,R,ugm-3 (TEOM FDMS),28.2,R,ugm-3 (TEOM FDMS),10.1,R,ugm-3 (TEOM FDMS)
8,8,01-01-2020,09:00,,,,24.0574,R,ugm-3,33.77687,R,ugm-3,70.66437,R,ugm-3,24.4,R,ugm-3 (TEOM FDMS),26.5,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS)
9,9,01-01-2020,10:00,,,,28.67945,R,ugm-3,34.51547,R,ugm-3,78.49001,R,ugm-3,26.0,R,ugm-3 (TEOM FDMS),26.1,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS)
10,10,01-01-2020,11:00,,,,40.15881,R,ugm-3,32.03971,R,ugm-3,93.61569,R,ugm-3,27.3,R,ugm-3 (TEOM FDMS),30.8,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS)
11,11,01-01-2020,12:00,,,,47.92537,R,ugm-3,35.37363,R,ugm-3,108.85817,R,ugm-3,27.1,R,ugm-3 (TEOM FDMS),29.9,R,ugm-3 (TEOM FDMS),8.8,R,ugm-3 (TEOM FDMS)
12,12,01-01-2020,13:00,,,,34.32442,R,ugm-3,38.29924,R,ugm-3,90.92927,R,ugm-3,29.2,R,ugm-3 (TEOM FDMS),32.8,R,ugm-3 (TEOM FDMS),9.6,R,ugm-3 (TEOM FDMS)
13,13,01-01-2020,14:00,,,,14.88907,R,ugm-3,40.06754,R,ugm-3,62.89713,R,ugm-3,28.5,R,ugm-3 (TEOM FDMS),34.8,R,ugm-3 (TEOM FDMS),12.3,R,ugm-3 (TEOM FDMS)
14,14,01-01-2020,15:00,,,,12.65381,R,ugm-3,43.31968,R,ugm-3,62.72193,R,ugm-3,29.4,R,ugm-3 (TEOM FDMS),35.0,R,ugm-3 (TEOM FDMS),11.6,R,ugm-3 (TEOM FDMS)
15,15,01-01-2020,16:00,,,,10.22913,R,ugm-3,47.27108,R,ugm-3,62.95553,R,ugm-3,28.2,R,ugm-3 (TEOM FDMS),32.8,R,ugm-3 (TEOM FDMS),10.6,R,ugm-3 (TEOM FDMS)
