,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,PM<sub>2.5</sub> particulate matter (Hourly measured),status.6,unit.6,Volatile PM<sub>10</sub> (Hourly measured),status.7,unit.7,Volatile PM<sub>2.5</sub> (Hourly measured),status.8,unit.8
0,0,01-01-2020,01:00,43.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,35.9,R,ugm-3 (TEOM FDMS),28.7,R,ugm-3 (TEOM FDMS),36.3,R,ugm-3 (TEOM FDMS),7.7,R,ugm-3 (TEOM FDMS),7.6,R,ugm-3 (TEOM FDMS)
1,1,01-01-2020,02:00,45.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,37.7,R,ugm-3 (TEOM FDMS),31.7,R,ugm-3 (TEOM FDMS),39.5,R,ugm-3 (TEOM FDMS),8.2,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS)
2,2,01-01-2020,03:00,65.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,58.9,R,ugm-3 (TEOM FDMS),51.5,R,ugm-3 (TEOM FDMS),57.8,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS),6.3,R,ugm-3 (TEOM FDMS)
3,3,01-01-2020,04:00,53.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,45.6,R,ugm-3 (TEOM FDMS),40.1,R,ugm-3 (TEOM FDMS),46.2,R,ugm-3 (TEOM FDMS),7.4,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS)
4,4,01-01-2020,05:00,43.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,36.1,R,ugm-3 (TEOM FDMS),32.5,R,ugm-3 (TEOM FDMS),39.0,R,ugm-3 (TEOM FDMS),7.4,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS)
5,5,01-01-2020,06:00,41.2,R,ugm-3 (TEOM FDMS),,,,,,,,,,32.7,R,ugm-3 (TEOM FDMS),30.1,R,ugm-3 (TEOM FDMS),38.7,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS)
6,6,01-01-2020,07:00,40.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,33.3,R,ugm-3 (TEOM FDMS),30.3,R,ugm-3 (TEOM FDMS),36.5,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
7,7,01-01-2020,08:00,40.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,32.3,R,ugm-3 (TEOM FDMS),29.2,R,ugm-3 (TEOM FDMS),36.9,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS),7.7,R,ugm-3 (TEOM FDMS)
8,8,01-01-2020,09:00,39.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,31.4,R,ugm-3 (TEOM FDMS),28.3,R,ugm-3 (TEOM FDMS),35.4,R,ugm-3 (TEOM FDMS),8.4,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS)
9,9,01-01-2020,10:00,33.4,R,ugm-3 (TEOM FDMS),,,,,,,,,,25.4,R,ugm-3 (TEOM FDMS),24.3,R,ugm-3 (TEOM FDMS),33.2,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS),8.9,R,ugm-3 (TEOM FDMS)
10,10,01-01-2020,11:00,33.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,25.7,R,ugm-3 (TEOM FDMS),24.3,R,ugm-3 (TEOM FDMS),31.9,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),7.6,R,ugm-3 (TEOM FDMS)
11,11,01-01-2020,12:00,38.2,R,ugm-3 (TEOM FDMS),,,,,,,,,,30.4,R,ugm-3 (TEOM FDMS),25.4,R,ugm-3 (TEOM FDMS),34.2,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS),8.8,R,ugm-3 (TEOM FDMS)
12,12,01-01-2020,13:00,41.1,R,ugm-3 (TEOM FDMS),,,,,,,,,,31.2,R,ugm-3 (TEOM FDMS),28.5,R,ugm-3 (TEOM FDMS),38.0,R,ugm-3 (TEOM FDMS),9.9,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS)
13,13,01-01-2020,14:00,45.7,R,ugm-3 (TEOM FDMS),,,,,,,,,,36.9,R,ugm-3 (TEOM FDMS),30.7,R,ugm-3 (TEOM FDMS),38.5,R,ugm-3 (TEOM FDMS),8.8,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS)
14,14,01-01-2020,15:00,42.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,34.0,R,ugm-3 (TEOM FDMS),31.8,R,ugm-3 (TEOM FDMS),38.7,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS)
15,15,01-01-2020,16:00,40.1,R,ugm-3 (TEOM FDMS),,,,,,,,,,29.8,R,ugm-3 (TEOM FDMS),27.0,R,ugm-3 (TEOM FDMS),36.2,R,ugm-3 (TEOM FDMS),10.3,R,ugm-3 (TEOM FDMS),9.2,R,ugm-3 (TEOM FDMS)
16,16,01-01-2020,17:00,39.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,32.3,R,ugm-3 (TEOM FDMS),27.8,R,ugm-3 (TEOM FDMS),33.5,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS)
17,17,01-01-2020,18:00,32.7,R,ugm-3 (TEOM FDMS),,,,,,,,,,24.4,R,ugm-3 (TEOM FDMS),20.1,R,ugm-3 (TEOM FDMS),26.6,R,ugm-3 (TEOM FDMS),8.3,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS)
18,18,01-01-2020,19:00,33.2,R,ugm-3 (TEOM FDMS),,,,,,,,,,26.3,R,ugm-3 (TEOM FDMS),23.3,R,ugm-3 (TEOM FDMS),29.9,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),6.6,R,ugm-3 (TEOM FDMS)
19,19,01-01-2020,20:00,35.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,27.4,R,ugm-3 (TEOM FDMS),23.4,R,ugm-3 (TEOM FDMS),31.3,R,ugm-3 (TEOM FDMS),8.2,R,ugm-3 (TEOM FDMS),7.9,R,ugm-3 (TEOM FDMS)
20,20,01-01-2020,21:00,25.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,18.4,R,ugm-3 (TEOM FDMS),16.8,R,ugm-3 (TEOM FDMS),24.3,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS)
21,21,01-01-2020,22:00,24.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,17.2,R,ugm-3 (TEOM FDMS),16.5,R,ugm-3 (TEOM FDMS),22.3,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS)
22,22,01-01-2020,23:00,27.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,19.1,R,ugm-3 (TEOM FDMS),17.5,R,ugm-3 (TEOM FDMS),25.3,R,ugm-3 (TEOM FDMS),8.4,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS)
23,23,01-01-2020,24:00,24.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,16.8,R,ugm-3 (TEOM FDMS),14.4,R,ugm-3 (TEOM FDMS),20.7,R,ugm-3 (TEOM FDMS),7.7,R,ugm-3 (TEOM FDMS),6.3,R,ugm-3 (TEOM FDMS)
24,24,02-01-2020,01:00,21.3,R,ugm-3 (TEOM FDMS),,,,,,,,,,12.6,R,ugm-3 (TEOM FDMS),11.0,R,ugm-3 (TEOM FDMS),19.097,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS)
25,25,02-01-2020,02:00,13.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.1,R,ugm-3 (TEOM FDMS),6.4,R,ugm-3 (TEOM FDMS),10.898,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS),4.5,R,ugm-3 (TEOM FDMS)
26,26,02-01-2020,03:00,13.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,7.5,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),11.898,R,ugm-3 (TEOM FDMS),5.5,R,ugm-3 (TEOM FDMS),5.1,R,ugm-3 (TEOM FDMS)
27,27,02-01-2020,04:00,13.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,7.6,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS),11.898,R,ugm-3 (TEOM FDMS),5.4,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS)
28,28,02-01-2020,05:00,11.2,R,ugm-3 (TEOM FDMS),,,,,,,,,,6.8,R,ugm-3 (TEOM FDMS),5.4,R,ugm-3 (TEOM FDMS),10.198,R,ugm-3 (TEOM FDMS),4.4,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS)
29,29,02-01-2020,06:00,11.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,7.0,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS),9.599,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS)
30,30,02-01-2020,07:00,14.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.3,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS),10.398,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS)
31,31,02-01-2020,08:00,11.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,6.5,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS),8.199,R,ugm-3 (TEOM FDMS),4.5,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
32,32,02-01-2020,09:00,10.4,R,ugm-3 (TEOM FDMS),,,,,,,,,,7.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),6.399,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
33,33,02-01-2020,10:00,5.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,1.7,R,ugm-3 (TEOM FDMS),0.3,R,ugm-3 (TEOM FDMS),3.499,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
34,34,02-01-2020,11:00,10.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,5.6,R,ugm-3 (TEOM FDMS),-0.2,R,ugm-3 (TEOM FDMS),3.699,R,ugm-3 (TEOM FDMS),5.3,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS)
35,35,02-01-2020,12:00,9.5,R,ugm-3 (TEOM FDMS),,,,,,,,,,3.9,R,ugm-3 (TEOM FDMS),-0.9,R,ugm-3 (TEOM FDMS),3.799,R,ugm-3 (TEOM FDMS),5.6,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS)
36,36,02-01-2020,13:00,10.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,6.6,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS),4.299,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
37,37,02-01-2020,14:00,13.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.9,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS),6.499,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS),4.0,R,ugm-3 (TEOM FDMS)
38,38,02-01-2020,15:00,12.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.6,R,ugm-3 (TEOM FDMS),2.2,R,ugm-3 (TEOM FDMS),4.199,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
39,39,02-01-2020,16:00,17.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,13.0,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS),6.299,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
40,40,02-01-2020,17:00,14.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,11.6,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS),5.599,R,ugm-3 (TEOM FDMS),2.4,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
41,41,02-01-2020,18:00,15.2,R,ugm-3 (TEOM FDMS),,,,,,,,,,11.0,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS),5.999,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
42,42,02-01-2020,19:00,10.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.0,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS),4.699,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS),1.1,R,ugm-3 (TEOM FDMS)
43,43,02-01-2020,20:00,11.9,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.2,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),8.399,R,ugm-3 (TEOM FDMS),3.7,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS)
44,44,02-01-2020,21:00,12.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.5,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS),6.299,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS)
45,45,02-01-2020,22:00,11.3,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.2,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),3.899,R,ugm-3 (TEOM FDMS),2.1,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
46,46,02-01-2020,23:00,11.4,R,ugm-3 (TEOM FDMS),,,,,,,,,,9.9,R,ugm-3 (TEOM FDMS),4.8,R,ugm-3 (TEOM FDMS),5.399,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS),0.6,R,ugm-3 (TEOM FDMS)
47,47,02-01-2020,24:00,12.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,10.1,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS),7.199,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS)
48,48,03-01-2020,01:00,11.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,8.6,R,ugm-3 (TEOM FDMS),1.4,R,ugm-3 (TEOM FDMS),3.999,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
49,49,03-01-2020,02:00,7.1,R,ugm-3 (TEOM FDMS),,,,,,,,,,5.5,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS),3.099,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
50,50,03-01-2020,03:00,9.0,R,ugm-3 (TEOM FDMS),,,,,,,,,,6.3,R,ugm-3 (TEOM FDMS),1.0,R,ugm-3 (TEOM FDMS),4.199,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
