,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,0,01-01-2020,01:00,44.9,R,ugm-3 (TEOM FDMS),14.30497,R,ugm-3,39.99042,R,ugm-3,61.9244,R,ugm-3,35.3,R,ugm-3 (TEOM FDMS),29.1,R,ugm-3 (TEOM FDMS),1.33047,R,ugm-3,35.6,R,ugm-3 (TEOM FDMS),1.21118,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),9.7,R,ugm-3 (TEOM FDMS)
1,1,01-01-2020,02:00,48.5,R,ugm-3 (TEOM FDMS),15.92318,R,ugm-3,37.90489,R,ugm-3,62.32008,R,ugm-3,39.5,R,ugm-3 (TEOM FDMS),36.8,R,ugm-3 (TEOM FDMS),1.59656,R,ugm-3,42.5,R,ugm-3 (TEOM FDMS),1.73025,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),8.9,R,ugm-3 (TEOM FDMS)
2,2,01-01-2020,03:00,49.1,R,ugm-3 (TEOM FDMS),20.53507,R,ugm-3,37.2138,R,ugm-3,68.70047,R,ugm-3,40.8,R,ugm-3 (TEOM FDMS),36.8,R,ugm-3 (TEOM FDMS),1.9957,R,ugm-3,42.3,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.3,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS)
3,3,01-01-2020,04:00,53.1,R,ugm-3 (TEOM FDMS),15.48626,R,ugm-3,36.49748,R,ugm-3,60.24275,R,ugm-3,45.0,R,ugm-3 (TEOM FDMS),40.1,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,45.6,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS)
4,4,01-01-2020,05:00,46.3,R,ugm-3 (TEOM FDMS),4.32062,R,ugm-3,28.24472,R,ugm-3,34.86957,R,ugm-3,37.4,R,ugm-3 (TEOM FDMS),34.6,R,ugm-3 (TEOM FDMS),7.58366,R,ugm-3,40.4,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS)
5,5,01-01-2020,06:00,43.7,R,ugm-3 (TEOM FDMS),3.05842,R,ugm-3,27.73178,R,ugm-3,32.42128,R,ugm-3,33.4,R,ugm-3 (TEOM FDMS),32.0,R,ugm-3 (TEOM FDMS),7.3342,R,ugm-3,39.6,R,ugm-3 (TEOM FDMS),0.8435,R,ugm-3,10.3,R,ugm-3 (TEOM FDMS),10.8,R,ugm-3 (TEOM FDMS)
6,6,01-01-2020,07:00,46.1,R,ugm-3 (TEOM FDMS),3.83516,R,ugm-3,29.87937,R,ugm-3,35.75986,R,ugm-3,36.4,R,ugm-3 (TEOM FDMS),33.2,R,ugm-3 (TEOM FDMS),6.6357,R,ugm-3,39.5,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,9.7,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS)
7,7,01-01-2020,08:00,42.7,R,ugm-3 (TEOM FDMS),6.60229,R,ugm-3,36.17155,R,ugm-3,46.29492,R,ugm-3,32.0,R,ugm-3 (TEOM FDMS),30.1,R,ugm-3 (TEOM FDMS),4.29076,R,ugm-3,35.0,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,10.7,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS)
8,8,01-01-2020,09:00,42.8,R,ugm-3 (TEOM FDMS),49.12883,R,ugm-3,40.63005,R,ugm-3,115.95987,R,ugm-3,33.2,R,ugm-3 (TEOM FDMS),33.1,R,ugm-3 (TEOM FDMS),1.69635,R,ugm-3,39.3,R,ugm-3 (TEOM FDMS),2.66026,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),9.4,R,ugm-3 (TEOM FDMS)
9,9,01-01-2020,10:00,42.1,R,ugm-3 (TEOM FDMS),55.48839,R,ugm-3,41.63649,R,ugm-3,126.7175,R,ugm-3,32.2,R,ugm-3 (TEOM FDMS),30.2,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,37.1,R,ugm-3 (TEOM FDMS),3.17934,R,ugm-3,9.9,R,ugm-3 (TEOM FDMS),10.1,R,ugm-3 (TEOM FDMS)
