,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit
0,01-01-2020,01:00,,,
1,01-01-2020,02:00,,,
2,01-01-2020,03:00,,,
3,01-01-2020,04:00,,,
4,01-01-2020,05:00,,,
5,01-01-2020,06:00,,,
6,01-01-2020,07:00,,,
7,01-01-2020,08:00,,,
8,01-01-2020,09:00,,,
9,01-01-2020,10:00,,,
10,01-01-2020,11:00,,,
11,01-01-2020,12:00,,,
12,01-01-2020,13:00,,,
13,01-01-2020,14:00,,,
14,01-01-2020,15:00,,,
15,01-01-2020,16:00,,,
16,01-01-2020,17:00,,,
17,01-01-2020,18:00,,,
18,01-01-2020,19:00,,,
19,01-01-2020,20:00,,,
20,01-01-2020,21:00,,,
21,01-01-2020,22:00,,,
22,01-01-2020,23:00,,,
23,01-01-2020,24:00,,,
24,02-01-2020,01:00,,,
25,02-01-2020,02:00,,,
26,02-01-2020,03:00,,,
27,02-01-2020,04:00,,,
28,02-01-2020,05:00,,,
29,02-01-2020,06:00,,,
30,02-01-2020,07:00,,,
31,02-01-2020,08:00,,,
32,02-01-2020,09:00,,,
33,02-01-2020,10:00,,,
34,02-01-2020,11:00,,,
35,02-01-2020,12:00,,,
36,02-01-2020,13:00,,,
37,02-01-2020,14:00,,,
38,02-01-2020,15:00,,,
39,02-01-2020,16:00,,,
40,02-01-2020,17:00,,,
41,02-01-2020,18:00,,,
42,02-01-2020,19:00,,,
43,02-01-2020,20:00,,,
44,02-01-2020,21:00,,,
45,02-01-2020,22:00,,,
46,02-01-2020,23:00,,,
47,02-01-2020,24:00,,,
48,03-01-2020,01:00,,,
49,03-01-2020,02:00,,,
50,03-01-2020,03:00,,,
51,03-01-2020,04:00,,,
52,03-01-2020,05:00,,,
53,03-01-2020,06:00,,,
54,03-01-2020,07:00,,,
55,03-01-2020,08:00,,,
56,03-01-2020,09:00,,,
57,03-01-2020,10:00,,,
58,03-01-2020,11:00,,,
59,03-01-2020,12:00,,,
60,03-01-2020,13:00,,,
61,03-01-2020,14:00,,,
62,03-01-2020,15:00,,,
63,03-01-2020,16:00,,,
64,03-01-2020,17:00,,,
65,03-01-2020,18:00,,,
66,03-01-2020,19:00,,,
67,03-01-2020,20:00,,,
68,03-01-2020,21:00,,,
69,03-01-2020,22:00,,,
70,03-01-2020,23:00,,,
71,03-01-2020,24:00,,,
72,04-01-2020,01:00,,,
73,04-01-2020,02:00,,,
74,04-01-2020,03:00,,,
75,04-01-2020,04:00,,,
76,04-01-2020,05:00,,,
77,04-01-2020,06:00,,,
78,04-01-2020,07:00,,,
79,04-01-2020,08:00,,,
80,04-01-2020,09:00,,,
81,04-01-2020,10:00,,,
82,04-01-2020,11:00,,,
83,04-01-2020,12:00,,,
84,04-01-2020,13:00,,,
85,04-01-2020,14:00,,,
86,04-01-2020,15:00,,,
87,04-01-2020,16:00,,,
88,04-01-2020,17:00,,,
89,04-01-2020,18:00,,,
90,04-01-2020,19:00,,,
91,04-01-2020,20:00,,,
92,04-01-2020,21:00,,,
93,04-01-2020,22:00,,,
94,04-01-2020,23:00,,,
