,Unnamed: 0,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2
0,0,01-01-2020,01:00,,,,,,,,,
1,1,01-01-2020,02:00,,,,,,,,,
2,2,01-01-2020,03:00,,,,,,,,,
3,3,01-01-2020,04:00,,,,,,,,,
4,4,01-01-2020,05:00,,,,,,,,,
5,5,01-01-2020,06:00,,,,,,,,,
6,6,01-01-2020,07:00,,,,,,,,,
7,7,01-01-2020,08:00,,,,,,,,,
8,8,01-01-2020,09:00,,,,,,,,,
9,9,01-01-2020,10:00,,,,,,,,,
10,10,01-01-2020,11:00,,,,,,,,,
11,11,01-01-2020,12:00,,,,,,,,,
12,12,01-01-2020,13:00,,,,,,,,,
13,13,01-01-2020,14:00,,,,,,,,,
14,14,01-01-2020,15:00,,,,,,,,,
15,15,01-01-2020,16:00,,,,,,,,,
16,16,01-01-2020,17:00,,,,,,,,,
17,17,01-01-2020,18:00,,,,,,,,,
18,18,01-01-2020,19:00,,,,,,,,,
19,19,01-01-2020,20:00,,,,,,,,,
20,20,01-01-2020,21:00,,,,,,,,,
21,21,01-01-2020,22:00,,,,,,,,,
22,22,01-01-2020,23:00,,,,,,,,,
23,23,01-01-2020,24:00,,,,,,,,,
24,24,02-01-2020,01:00,,,,,,,,,
25,25,02-01-2020,02:00,,,,,,,,,
26,26,02-01-2020,03:00,,,,,,,,,
27,27,02-01-2020,04:00,,,,,,,,,
28,28,02-01-2020,05:00,,,,,,,,,
29,29,02-01-2020,06:00,,,,,,,,,
30,30,02-01-2020,07:00,,,,,,,,,
31,31,02-01-2020,08:00,,,,,,,,,
32,32,02-01-2020,09:00,,,,,,,,,
33,33,02-01-2020,10:00,,,,,,,,,
34,34,02-01-2020,11:00,,,,,,,,,
35,35,02-01-2020,12:00,,,,,,,,,
36,36,02-01-2020,13:00,,,,,,,,,
37,37,02-01-2020,14:00,,,,,,,,,
38,38,02-01-2020,15:00,,,,,,,,,
39,39,02-01-2020,16:00,,,,,,,,,
40,40,02-01-2020,17:00,,,,,,,,,
