,Unnamed: 0,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,Ozone,status.3,unit.3
0,0,01-01-2020,01:00,10.3713,R,ugm-3,41.19315,R,ugm-3,57.09558,R,ugm-3,,,
1,1,01-01-2020,02:00,23.20005,R,ugm-3,36.58697,R,ugm-3,72.15989,R,ugm-3,,,
2,2,01-01-2020,03:00,28.23992,R,ugm-3,36.85639,R,ugm-3,80.15699,R,ugm-3,,,
3,3,01-01-2020,04:00,29.23956,R,ugm-3,38.85722,R,ugm-3,83.69059,R,ugm-3,,,
4,4,01-01-2020,05:00,10.09015,R,ugm-3,34.51054,R,ugm-3,49.98188,R,ugm-3,,,
5,5,01-01-2020,06:00,5.52928,R,ugm-3,32.80925,R,ugm-3,41.28736,R,ugm-3,,,
6,6,01-01-2020,07:00,11.21475,R,ugm-3,31.25185,R,ugm-3,48.44755,R,ugm-3,,,
7,7,01-01-2020,08:00,28.05249,R,ugm-3,31.19245,R,ugm-3,74.20566,R,ugm-3,,,
8,8,01-01-2020,09:00,39.6421,R,ugm-3,35.73945,R,ugm-3,96.52315,R,ugm-3,,,
9,9,01-01-2020,10:00,41.57891,R,ugm-3,36.53579,R,ugm-3,100.28923,R,ugm-3,,,
10,10,01-01-2020,11:00,36.4245,R,ugm-3,36.11655,R,ugm-3,91.96666,R,ugm-3,,,
11,11,01-01-2020,12:00,38.5175,R,ugm-3,39.09113,R,ugm-3,98.15047,R,ugm-3,,,
12,12,01-01-2020,13:00,42.01625,R,ugm-3,42.74644,R,ugm-3,107.17045,R,ugm-3,,,
13,13,01-01-2020,14:00,27.99001,R,ugm-3,45.60864,R,ugm-3,88.52605,R,ugm-3,,,
14,14,01-01-2020,15:00,9.34042,R,ugm-3,41.00701,R,ugm-3,55.32878,R,ugm-3,,,
15,15,01-01-2020,16:00,3.7799,R,ugm-3,38.18829,R,ugm-3,43.98406,R,ugm-3,,,
16,16,01-01-2020,17:00,3.31132,R,ugm-3,39.41821,R,ugm-3,44.4955,R,ugm-3,,,
17,17,01-01-2020,18:00,5.3106,R,ugm-3,45.04721,R,ugm-3,53.19002,R,ugm-3,,,
18,18,01-01-2020,19:00,2.62406,R,ugm-3,38.6122,R,ugm-3,42.63571,R,ugm-3,,,
19,19,01-01-2020,20:00,5.99786,R,ugm-3,49.99126,R,ugm-3,59.18785,R,ugm-3,,,
20,20,01-01-2020,21:00,4.99822,R,ugm-3,45.80517,R,ugm-3,53.46899,R,ugm-3,,,
21,21,01-01-2020,22:00,2.87397,R,ugm-3,45.94714,R,ugm-3,50.35384,R,ugm-3,,,
22,22,01-01-2020,23:00,1.59318,R,ugm-3,36.51978,R,ugm-3,38.96262,R,ugm-3,,,
23,23,01-01-2020,24:00,1.62442,R,ugm-3,37.30878,R,ugm-3,39.79953,R,ugm-3,,,
24,24,02-01-2020,01:00,0.87351,R,ugm-3,27.55003,R,ugm-3,28.88939,R,ugm-3,,,
25,25,02-01-2020,02:00,0.70713,R,ugm-3,18.46403,R,ugm-3,19.54828,R,ugm-3,,,
26,26,02-01-2020,03:00,0.62394,R,ugm-3,18.11217,R,ugm-3,19.06886,R,ugm-3,,,
27,27,02-01-2020,04:00,0.56154,R,ugm-3,15.65604,R,ugm-3,16.51706,R,ugm-3,,,
28,28,02-01-2020,05:00,0.87351,R,ugm-3,13.925,R,ugm-3,15.26436,R,ugm-3,,,
29,29,02-01-2020,06:00,0.68633,R,ugm-3,20.3827,R,ugm-3,21.43506,R,ugm-3,,,
30,30,02-01-2020,07:00,3.49404,R,ugm-3,37.28068,R,ugm-3,42.63814,R,ugm-3,,,
31,31,02-01-2020,08:00,3.99319,R,ugm-3,43.19639,R,ugm-3,49.3192,R,ugm-3,,,
32,32,02-01-2020,09:00,3.9308,R,ugm-3,36.84298,R,ugm-3,42.87012,R,ugm-3,,,
33,33,02-01-2020,10:00,2.9325,R,ugm-3,26.96021,R,ugm-3,31.45665,R,ugm-3,,,
34,34,02-01-2020,11:00,3.30686,R,ugm-3,25.45827,R,ugm-3,30.52873,R,ugm-3,,,
35,35,02-01-2020,12:00,2.74532,R,ugm-3,21.07652,R,ugm-3,25.28595,R,ugm-3,,,
36,36,02-01-2020,13:00,2.30856,R,ugm-3,20.35431,R,ugm-3,23.89406,R,ugm-3,,,
37,37,02-01-2020,14:00,1.18548,R,ugm-3,14.88494,R,ugm-3,16.70265,R,ugm-3,,,
38,38,02-01-2020,15:00,1.12309,R,ugm-3,13.17115,R,ugm-3,14.89319,R,ugm-3,,,
39,39,02-01-2020,16:00,0.49915,R,ugm-3,12.78235,R,ugm-3,13.5477,R,ugm-3,,,
40,40,02-01-2020,17:00,1.15428,R,ugm-3,14.70079,R,ugm-3,16.47066,R,ugm-3,,,
41,41,02-01-2020,18:00,1.0295,R,ugm-3,17.39753,R,ugm-3,18.97606,R,ugm-3,,,
42,42,02-01-2020,19:00,1.31027,R,ugm-3,15.62152,R,ugm-3,17.63057,R,ugm-3,,,
43,43,02-01-2020,20:00,1.0295,R,ugm-3,14.98492,R,ugm-3,16.56346,R,ugm-3,,,
44,44,02-01-2020,21:00,0.74872,R,ugm-3,11.65733,R,ugm-3,12.80536,R,ugm-3,,,
45,45,02-01-2020,22:00,0.31197,R,ugm-3,9.45045,R,ugm-3,9.9288,R,ugm-3,,,
46,46,02-01-2020,23:00,0.77992,R,ugm-3,9.47527,R,ugm-3,10.67113,R,ugm-3,,,
47,47,02-01-2020,24:00,0.49915,R,ugm-3,7.07561,R,ugm-3,7.84097,R,ugm-3,,,
48,48,03-01-2020,01:00,0.37386,R,ugm-3,5.59979,R,ugm-3,6.17303,R,ugm-3,,,
49,49,03-01-2020,02:00,0.37386,R,ugm-3,8.13073,R,ugm-3,8.70397,R,ugm-3,,,
50,50,03-01-2020,03:00,0.52963,R,ugm-3,6.45665,R,ugm-3,7.26874,R,ugm-3,,,
