,Unnamed: 0,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,Ozone,status.3,unit.3
0,0,01-01-2020,01:00,36.8773,R,ugm-3,42.98227,R,ugm-3,99.52668,R,ugm-3,0.61576,R,ugm-3
1,1,01-01-2020,02:00,,,,,,,,,,0.82101,R,ugm-3
2,2,01-01-2020,03:00,20.79732,R,ugm-3,44.59524,R,ugm-3,76.48402,R,ugm-3,0.82101,R,ugm-3
3,3,01-01-2020,04:00,33.16496,R,ugm-3,45.95522,R,ugm-3,96.80746,R,ugm-3,0.71838,R,ugm-3
4,4,01-01-2020,05:00,9.26035,R,ugm-3,40.73558,R,ugm-3,54.93458,R,ugm-3,0.71838,R,ugm-3
5,5,01-01-2020,06:00,7.4452,R,ugm-3,37.86027,R,ugm-3,49.27608,R,ugm-3,1.48808,R,ugm-3
6,6,01-01-2020,07:00,36.82603,R,ugm-3,44.114,R,ugm-3,100.57979,R,ugm-3,0.66707,R,ugm-3
7,7,01-01-2020,08:00,24.24303,R,ugm-3,37.18995,R,ugm-3,74.36208,R,ugm-3,0.46182,R,ugm-3
8,8,01-01-2020,09:00,35.31853,R,ugm-3,36.94748,R,ugm-3,91.10181,R,ugm-3,0.82101,R,ugm-3
9,9,01-01-2020,10:00,38.85654,R,ugm-3,41.37783,R,ugm-3,100.95702,R,ugm-3,1.43677,R,ugm-3
10,10,01-01-2020,11:00,89.03469,R,ugm-3,53.13601,R,ugm-3,189.65397,R,ugm-3,1.07758,R,ugm-3
11,11,01-01-2020,12:00,43.28674,R,ugm-3,54.10677,R,ugm-3,120.47884,R,ugm-3,3.54061,R,ugm-3
12,12,01-01-2020,13:00,28.6117,R,ugm-3,50.57908,R,ugm-3,94.44975,R,ugm-3,5.18263,R,ugm-3
13,13,01-01-2020,14:00,17.87462,R,ugm-3,50.7742,R,ugm-3,78.18157,R,ugm-3,8.26142,R,ugm-3
14,14,01-01-2020,15:00,43.71745,R,ugm-3,65.23488,R,ugm-3,132.26737,R,ugm-3,2.00121,R,ugm-3
15,15,01-01-2020,16:00,45.37878,R,ugm-3,62.92333,R,ugm-3,132.50314,R,ugm-3,2.25778,R,ugm-3
16,16,01-01-2020,17:00,81.12802,R,ugm-3,75.16177,R,ugm-3,199.55633,R,ugm-3,0.87232,R,ugm-3
17,17,01-01-2020,18:00,44.36352,R,ugm-3,74.66532,R,ugm-3,142.68844,R,ugm-3,2.56566,R,ugm-3
18,18,01-01-2020,19:00,58.8232,R,ugm-3,76.49558,R,ugm-3,166.6899,R,ugm-3,1.69334,R,ugm-3
19,19,01-01-2020,20:00,44.48658,R,ugm-3,70.98722,R,ugm-3,139.19903,R,ugm-3,2.77091,R,ugm-3
20,20,01-01-2020,21:00,43.10214,R,ugm-3,72.35553,R,ugm-3,138.44457,R,ugm-3,1.79596,R,ugm-3
21,21,01-01-2020,22:00,48.14765,R,ugm-3,69.99477,R,ugm-3,143.82014,R,ugm-3,0.97495,R,ugm-3
22,22,01-01-2020,23:00,36.21072,R,ugm-3,62.83456,R,ugm-3,118.3569,R,ugm-3,1.43677,R,ugm-3
23,23,01-01-2020,24:00,21.44339,R,ugm-3,49.92326,R,ugm-3,82.80268,R,ugm-3,5.64445,R,ugm-3
24,24,02-01-2020,01:00,6.60666,R,ugm-3,23.20522,R,ugm-3,33.33528,R,ugm-3,22.78706,R,ugm-3
25,25,02-01-2020,02:00,,,,,,,,,,26.61911,R,ugm-3
26,26,02-01-2020,03:00,3.16996,R,ugm-3,15.94256,R,ugm-3,20.8031,R,ugm-3,22.58177,R,ugm-3
27,27,02-01-2020,04:00,4.58568,R,ugm-3,15.65874,R,ugm-3,22.69001,R,ugm-3,20.37491,R,ugm-3
28,28,02-01-2020,05:00,11.11026,R,ugm-3,25.60851,R,ugm-3,42.64401,R,ugm-3,15.4993,R,ugm-3
29,29,02-01-2020,06:00,20.49705,R,ugm-3,36.97187,R,ugm-3,68.40023,R,ugm-3,9.90518,R,ugm-3
30,30,02-01-2020,07:00,42.99455,R,ugm-3,56.01704,R,ugm-3,121.9411,R,ugm-3,4.92693,R,ugm-3
31,31,02-01-2020,08:00,45.11812,R,ugm-3,71.91301,R,ugm-3,141.09316,R,ugm-3,6.26131,R,ugm-3
32,32,02-01-2020,09:00,41.57884,R,ugm-3,65.45234,R,ugm-3,129.20568,R,ugm-3,10.00783,R,ugm-3
33,33,02-01-2020,10:00,44.56415,R,ugm-3,67.19606,R,ugm-3,135.5268,R,ugm-3,7.74965,R,ugm-3
34,34,02-01-2020,11:00,36.28531,R,ugm-3,63.00232,R,ugm-3,118.63902,R,ugm-3,11.29088,R,ugm-3
35,35,02-01-2020,12:00,33.76165,R,ugm-3,59.93751,R,ugm-3,111.70465,R,ugm-3,12.93319,R,ugm-3
36,36,02-01-2020,13:00,30.22237,R,ugm-3,55.22223,R,ugm-3,101.56255,R,ugm-3,16.47443,R,ugm-3
37,37,02-01-2020,14:00,25.14428,R,ugm-3,54.94202,R,ugm-3,93.49604,R,ugm-3,21.81193,R,ugm-3
38,38,02-01-2020,15:00,18.03494,R,ugm-3,46.54927,R,ugm-3,74.20246,R,ugm-3,29.25365,R,ugm-3
39,39,02-01-2020,16:00,17.23475,R,ugm-3,48.57814,R,ugm-3,75.00439,R,ugm-3,29.45894,R,ugm-3
40,40,02-01-2020,17:00,18.46581,R,ugm-3,51.73801,R,ugm-3,80.05186,R,ugm-3,30.94728,R,ugm-3
41,41,02-01-2020,18:00,17.88106,R,ugm-3,50.88923,R,ugm-3,78.30647,R,ugm-3,31.40919,R,ugm-3
42,42,02-01-2020,19:00,18.61969,R,ugm-3,56.64387,R,ugm-3,85.19367,R,ugm-3,28.4325,R,ugm-3
43,43,02-01-2020,20:00,12.27976,R,ugm-3,46.08075,R,ugm-3,64.90946,R,ugm-3,36.54141,R,ugm-3
44,44,02-01-2020,21:00,9.01747,R,ugm-3,39.80862,R,ugm-3,53.63522,R,ugm-3,39.26148,R,ugm-3
45,45,02-01-2020,22:00,6.46303,R,ugm-3,31.74354,R,ugm-3,41.65338,R,ugm-3,44.49635,R,ugm-3
46,46,02-01-2020,23:00,5.38586,R,ugm-3,27.92316,R,ugm-3,36.18136,R,ugm-3,45.11221,R,ugm-3
47,47,02-01-2020,24:00,3.10841,R,ugm-3,14.43307,R,ugm-3,19.19924,R,ugm-3,54.14492,R,ugm-3
48,48,03-01-2020,01:00,3.40714,R,ugm-3,15.22522,R,ugm-3,20.44943,R,ugm-3,49.68861,R,ugm-3
49,49,03-01-2020,02:00,,,,,,,,,,50.78368,R,ugm-3
50,50,03-01-2020,03:00,2.46299,R,ugm-3,12.31559,R,ugm-3,16.09213,R,ugm-3,48.14868,R,ugm-3
51,51,03-01-2020,04:00,2.00118,R,ugm-3,13.5428,R,ugm-3,16.61123,R,ugm-3,53.23047,R,ugm-3
52,52,03-01-2020,05:00,1.38543,R,ugm-3,15.28918,R,ugm-3,17.41348,R,ugm-3,58.72291,R,ugm-3
53,53,03-01-2020,06:00,4.77205,R,ugm-3,30.34138,R,ugm-3,37.65842,R,ugm-3,42.34825,R,ugm-3
54,54,03-01-2020,07:00,17.14859,R,ugm-3,53.12831,R,ugm-3,79.42246,R,ugm-3,25.61428,R,ugm-3
55,55,03-01-2020,08:00,14.87032,R,ugm-3,50.72273,R,ugm-3,73.52358,R,ugm-3,26.74356,R,ugm-3
56,56,03-01-2020,09:00,10.06749,R,ugm-3,45.77013,R,ugm-3,61.20673,R,ugm-3,29.41278,R,ugm-3
57,57,03-01-2020,10:00,1.29307,R,ugm-3,13.21282,R,ugm-3,15.1955,R,ugm-3,58.00427,R,ugm-3
58,58,03-01-2020,11:00,1.07756,R,ugm-3,12.17473,R,ugm-3,13.82696,R,ugm-3,60.31418,R,ugm-3
59,59,03-01-2020,12:00,1.44701,R,ugm-3,14.01499,R,ugm-3,16.2337,R,ugm-3,60.31418,R,ugm-3
60,60,03-01-2020,13:00,2.58614,R,ugm-3,13.49531,R,ugm-3,17.46067,R,ugm-3,61.44346,R,ugm-3
61,61,03-01-2020,14:00,1.53937,R,ugm-3,12.97674,R,ugm-3,15.33708,R,ugm-3,62.93207,R,ugm-3
62,62,03-01-2020,15:00,1.57016,R,ugm-3,14.01493,R,ugm-3,16.42247,R,ugm-3,63.08606,R,ugm-3
63,63,03-01-2020,16:00,1.50858,R,ugm-3,17.4599,R,ugm-3,19.77303,R,ugm-3,59.18489,R,ugm-3
64,64,03-01-2020,17:00,1.10835,R,ugm-3,28.92752,R,ugm-3,30.62696,R,ugm-3,46.14676,R,ugm-3
65,65,03-01-2020,18:00,2.86323,R,ugm-3,50.44572,R,ugm-3,54.83594,R,ugm-3,25.66561,R,ugm-3
66,66,03-01-2020,19:00,4.67969,R,ugm-3,49.12344,R,ugm-3,56.29887,R,ugm-3,25.56294,R,ugm-3
67,67,03-01-2020,20:00,5.35701,R,ugm-3,57.19276,R,ugm-3,65.40673,R,ugm-3,18.88989,R,ugm-3
68,68,03-01-2020,21:00,3.87922,R,ugm-3,49.59576,R,ugm-3,55.54381,R,ugm-3,21.55911,R,ugm-3
69,69,03-01-2020,22:00,1.16992,R,ugm-3,26.66232,R,ugm-3,28.45617,R,ugm-3,39.42237,R,ugm-3
70,70,03-01-2020,23:00,0.92362,R,ugm-3,20.05571,R,ugm-3,21.47191,R,ugm-3,46.24942,R,ugm-3
71,71,03-01-2020,24:00,4.92599,R,ugm-3,34.16377,R,ugm-3,41.71684,R,ugm-3,30.69607,R,ugm-3
72,72,04-01-2020,01:00,4.59924,R,ugm-3,42.48636,R,ugm-3,49.53843,R,ugm-3,24.3695,R,ugm-3
73,73,04-01-2020,02:00,,,,,,,,,,24.5064,R,ugm-3
74,74,04-01-2020,03:00,3.63422,R,ugm-3,31.39259,R,ugm-3,36.96498,R,ugm-3,27.92909,R,ugm-3
75,75,04-01-2020,04:00,3.41863,R,ugm-3,29.74036,R,ugm-3,34.98219,R,ugm-3,30.18805,R,ugm-3
76,76,04-01-2020,05:00,4.55818,R,ugm-3,31.86425,R,ugm-3,38.85336,R,ugm-3,31.06084,R,ugm-3
77,77,04-01-2020,06:00,6.31369,R,ugm-3,33.32693,R,ugm-3,43.00779,R,ugm-3,30.70146,R,ugm-3
78,78,04-01-2020,07:00,24.23842,R,ugm-3,58.90614,R,ugm-3,96.07119,R,ugm-3,12.57836,R,ugm-3
79,79,04-01-2020,08:00,18.4175,R,ugm-3,56.83162,R,ugm-3,85.07139,R,ugm-3,14.73465,R,ugm-3
80,80,04-01-2020,09:00,20.69659,R,ugm-3,54.23405,R,ugm-3,85.96837,R,ugm-3,17.14764,R,ugm-3
81,81,04-01-2020,10:00,18.94108,R,ugm-3,55.98161,R,ugm-3,85.02418,R,ugm-3,19.92001,R,ugm-3
82,82,04-01-2020,11:00,15.64564,R,ugm-3,50.69568,R,ugm-3,74.68532,R,ugm-3,24.74599,R,ugm-3
83,83,04-01-2020,12:00,8.1616,R,ugm-3,37.99981,R,ugm-3,50.51409,R,ugm-3,35.78414,R,ugm-3
84,84,04-01-2020,13:00,8.68518,R,ugm-3,35.02537,R,ugm-3,48.34246,R,ugm-3,40.09672,R,ugm-3
