,Unnamed: 0,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2,PM<sub>2.5</sub> particulate matter (Hourly measured),status.3,unit.3
0,0,01-01-2020,01:00,15.24691,R,ugm-3,46.18613,R,ugm-3,69.5644,R,ugm-3,42.0,R,ugm-3 (BAM)
1,1,01-01-2020,02:00,17.63596,R,ugm-3,44.73371,R,ugm-3,71.77513,R,ugm-3,48.0,R,ugm-3 (BAM)
2,2,01-01-2020,03:00,18.69909,R,ugm-3,44.28266,R,ugm-3,72.95419,R,ugm-3,52.0,R,ugm-3 (BAM)
3,3,01-01-2020,04:00,16.54894,R,ugm-3,41.27891,R,ugm-3,66.6536,R,ugm-3,48.0,R,ugm-3 (BAM)
4,4,01-01-2020,05:00,2.75219,R,ugm-3,30.76489,R,ugm-3,34.98485,R,ugm-3,43.0,R,ugm-3 (BAM)
5,5,01-01-2020,06:00,4.29312,R,ugm-3,36.58187,R,ugm-3,43.16457,R,ugm-3,41.0,R,ugm-3 (BAM)
6,6,01-01-2020,07:00,4.61564,R,ugm-3,37.80066,R,ugm-3,44.87788,R,ugm-3,39.0,R,ugm-3 (BAM)
7,7,01-01-2020,08:00,7.15998,R,ugm-3,41.69223,R,ugm-3,52.67072,R,ugm-3,39.0,R,ugm-3 (BAM)
8,8,01-01-2020,09:00,39.08962,R,ugm-3,46.23388,R,ugm-3,106.17046,R,ugm-3,42.0,R,ugm-3 (BAM)
9,9,01-01-2020,10:00,59.44432,R,ugm-3,48.79273,R,ugm-3,139.93941,R,ugm-3,41.0,R,ugm-3 (BAM)
10,10,01-01-2020,11:00,56.89998,R,ugm-3,50.04111,R,ugm-3,137.28653,R,ugm-3,36.0,R,ugm-3 (BAM)
11,11,01-01-2020,12:00,43.81994,R,ugm-3,48.59751,R,ugm-3,115.78715,R,ugm-3,37.0,R,ugm-3 (BAM)
12,12,01-01-2020,13:00,29.844,R,ugm-3,50.6278,R,ugm-3,96.38796,R,ugm-3,38.0,R,ugm-3 (BAM)
13,13,01-01-2020,14:00,9.991,R,ugm-3,43.87306,R,ugm-3,59.19238,R,ugm-3,36.0,R,ugm-3 (BAM)
14,14,01-01-2020,15:00,12.85786,R,ugm-3,46.0542,R,ugm-3,65.76931,R,ugm-3,39.0,R,ugm-3 (BAM)
15,15,01-01-2020,16:00,5.94157,R,ugm-3,39.968,R,ugm-3,49.07828,R,ugm-3,33.0,R,ugm-3 (BAM)
16,16,01-01-2020,17:00,5.26069,R,ugm-3,42.00683,R,ugm-3,50.07311,R,ugm-3,33.0,R,ugm-3 (BAM)
17,17,01-01-2020,18:00,3.68391,R,ugm-3,45.08774,R,ugm-3,50.73632,R,ugm-3,32.0,R,ugm-3 (BAM)
18,18,01-01-2020,19:00,6.51494,R,ugm-3,45.77631,R,ugm-3,55.76574,R,ugm-3,34.0,R,ugm-3 (BAM)
19,19,01-01-2020,20:00,2.89553,R,ugm-3,43.09102,R,ugm-3,47.53076,R,ugm-3,30.0,R,ugm-3 (BAM)
20,20,01-01-2020,21:00,3.28972,R,ugm-3,46.07904,R,ugm-3,51.1232,R,ugm-3,27.0,R,ugm-3 (BAM)
21,21,01-01-2020,22:00,3.18221,R,ugm-3,45.24905,R,ugm-3,50.12837,R,ugm-3,22.0,R,ugm-3 (BAM)
22,22,01-01-2020,23:00,1.06791,R,ugm-3,30.36293,R,ugm-3,32.00036,R,ugm-3,24.0,R,ugm-3 (BAM)
23,23,01-01-2020,24:00,1.17541,R,ugm-3,26.55038,R,ugm-3,28.35265,R,ugm-3,23.0,R,ugm-3 (BAM)
24,24,02-01-2020,01:00,0.72155,R,ugm-3,18.13027,R,ugm-3,19.23663,R,ugm-3,17.0,R,ugm-3 (BAM)
25,25,02-01-2020,02:00,0.53041,R,ugm-3,17.90742,R,ugm-3,18.7207,R,ugm-3,12.0,R,ugm-3 (BAM)
26,26,02-01-2020,03:00,0.63792,R,ugm-3,16.82127,R,ugm-3,17.79941,R,ugm-3,17.0,R,ugm-3 (BAM)
27,27,02-01-2020,04:00,0.56625,R,ugm-3,13.78035,R,ugm-3,14.64858,R,ugm-3,14.0,R,ugm-3 (BAM)
28,28,02-01-2020,05:00,0.78128,R,ugm-3,14.05869,R,ugm-3,15.25663,R,ugm-3,13.0,R,ugm-3 (BAM)
29,29,02-01-2020,06:00,1.13966,R,ugm-3,22.57471,R,ugm-3,24.32217,R,ugm-3,11.0,R,ugm-3 (BAM)
30,30,02-01-2020,07:00,2.50152,R,ugm-3,33.03459,R,ugm-3,36.8702,R,ugm-3,15.0,R,ugm-3 (BAM)
31,31,02-01-2020,08:00,3.0391,R,ugm-3,38.73308,R,ugm-3,43.39296,R,ugm-3,14.0,R,ugm-3 (BAM)
32,32,02-01-2020,09:00,3.3258,R,ugm-3,36.41403,R,ugm-3,41.51352,R,ugm-3,10.0,R,ugm-3 (BAM)
33,33,02-01-2020,10:00,4.22177,R,ugm-3,34.87441,R,ugm-3,41.34769,R,ugm-3,9.0,R,ugm-3 (BAM)
34,34,02-01-2020,11:00,3.46916,R,ugm-3,27.18396,R,ugm-3,32.50326,R,ugm-3,9.0,R,ugm-3 (BAM)
35,35,02-01-2020,12:00,3.57667,R,ugm-3,22.26523,R,ugm-3,27.74938,R,ugm-3,6.0,R,ugm-3 (BAM)
36,36,02-01-2020,13:00,3.11077,R,ugm-3,22.53738,R,ugm-3,27.30716,R,ugm-3,7.0,R,ugm-3 (BAM)
37,37,02-01-2020,14:00,2.60904,R,ugm-3,22.97503,R,ugm-3,26.9755,R,ugm-3,10.0,R,ugm-3 (BAM)
38,38,02-01-2020,15:00,1.53389,R,ugm-3,20.09081,R,ugm-3,22.44273,R,ugm-3,12.0,R,ugm-3 (BAM)
39,39,02-01-2020,16:00,1.96395,R,ugm-3,24.01943,R,ugm-3,27.03077,R,ugm-3,10.0,R,ugm-3 (BAM)
40,40,02-01-2020,17:00,1.6414,R,ugm-3,25.61955,R,ugm-3,28.13633,R,ugm-3,9.0,R,ugm-3 (BAM)
41,41,02-01-2020,18:00,1.1755,R,ugm-3,24.50976,R,ugm-3,26.31217,R,ugm-3,9.0,R,ugm-3 (BAM)
42,42,02-01-2020,19:00,1.46221,R,ugm-3,27.8843,R,ugm-3,30.12632,R,ugm-3,6.0,R,ugm-3 (BAM)
43,43,02-01-2020,20:00,1.31885,R,ugm-3,22.13412,R,ugm-3,24.15634,R,ugm-3,8.0,R,ugm-3 (BAM)
44,44,02-01-2020,21:00,0.78128,R,ugm-3,19.75229,R,ugm-3,20.95023,R,ugm-3,8.0,R,ugm-3 (BAM)
45,45,02-01-2020,22:00,0.81712,R,ugm-3,16.49124,R,ugm-3,17.74413,R,ugm-3,6.0,R,ugm-3 (BAM)
46,46,02-01-2020,23:00,1.03215,R,ugm-3,16.54847,R,ugm-3,18.13107,R,ugm-3,11.0,R,ugm-3 (BAM)
47,47,02-01-2020,24:00,0.35122,R,ugm-3,12.0095,R,ugm-3,12.54803,R,ugm-3,6.0,R,ugm-3 (BAM)
48,48,03-01-2020,01:00,0.38708,R,ugm-3,10.31645,R,ugm-3,10.90997,R,ugm-3,8.0,R,ugm-3 (BAM)
49,49,03-01-2020,02:00,0.43487,R,ugm-3,8.54771,R,ugm-3,9.2145,R,ugm-3,9.0,R,ugm-3 (BAM)
50,50,03-01-2020,03:00,0.38708,R,ugm-3,6.87022,R,ugm-3,7.46374,R,ugm-3,7.0,R,ugm-3 (BAM)
