,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status.1,unit.1
0,01-01-2020,01:00,68.3,R,ugm-3 (FIDAS),58.562,R,ugm-3 (Ref.eq)
1,01-01-2020,02:00,54.3,R,ugm-3 (FIDAS),46.745,R,ugm-3 (Ref.eq)
2,01-01-2020,03:00,52.95,R,ugm-3 (FIDAS),45.896,R,ugm-3 (Ref.eq)
3,01-01-2020,04:00,44.9,R,ugm-3 (FIDAS),39.552,R,ugm-3 (Ref.eq)
4,01-01-2020,05:00,44.35,R,ugm-3 (FIDAS),39.293,R,ugm-3 (Ref.eq)
5,01-01-2020,06:00,44.35,R,ugm-3 (FIDAS),39.34,R,ugm-3 (Ref.eq)
6,01-01-2020,07:00,43.375,R,ugm-3 (FIDAS),38.538,R,ugm-3 (Ref.eq)
7,01-01-2020,08:00,41.8,R,ugm-3 (FIDAS),37.5,R,ugm-3 (Ref.eq)
8,01-01-2020,09:00,36.5,R,ugm-3 (FIDAS),32.83,R,ugm-3 (Ref.eq)
9,01-01-2020,10:00,31.65,R,ugm-3 (FIDAS),28.821,R,ugm-3 (Ref.eq)
10,01-01-2020,11:00,33.225,R,ugm-3 (FIDAS),30.142,R,ugm-3 (Ref.eq)
11,01-01-2020,12:00,36.425,R,ugm-3 (FIDAS),32.83,R,ugm-3 (Ref.eq)
12,01-01-2020,13:00,38.6,R,ugm-3 (FIDAS),34.67,R,ugm-3 (Ref.eq)
13,01-01-2020,14:00,39.875,R,ugm-3 (FIDAS),35.778,R,ugm-3 (Ref.eq)
14,01-01-2020,15:00,38.625,R,ugm-3 (FIDAS),33.679,R,ugm-3 (Ref.eq)
15,01-01-2020,16:00,40.475,R,ugm-3 (FIDAS),35.472,R,ugm-3 (Ref.eq)
16,01-01-2020,17:00,36.5,R,ugm-3 (FIDAS),32.382,R,ugm-3 (Ref.eq)
17,01-01-2020,18:00,35.8,R,ugm-3 (FIDAS),31.816,R,ugm-3 (Ref.eq)
18,01-01-2020,19:00,32.2,R,ugm-3 (FIDAS),28.538,R,ugm-3 (Ref.eq)
19,01-01-2020,20:00,31.4,R,ugm-3 (FIDAS),27.311,R,ugm-3 (Ref.eq)
20,01-01-2020,21:00,28.4,R,ugm-3 (FIDAS),24.906,R,ugm-3 (Ref.eq)
21,01-01-2020,22:00,30.075,R,ugm-3 (FIDAS),26.321,R,ugm-3 (Ref.eq)
22,01-01-2020,23:00,23.75,R,ugm-3 (FIDAS),21.297,R,ugm-3 (Ref.eq)
23,01-01-2020,24:00,16.9,R,ugm-3 (FIDAS),15.354,R,ugm-3 (Ref.eq)
24,02-01-2020,01:00,11.7,R,ugm-3 (FIDAS),10.778,R,ugm-3 (Ref.eq)
25,02-01-2020,02:00,9.9,R,ugm-3 (FIDAS),9.151,R,ugm-3 (Ref.eq)
26,02-01-2020,03:00,10.8,R,ugm-3 (FIDAS),9.906,R,ugm-3 (Ref.eq)
27,02-01-2020,04:00,10.925,R,ugm-3 (FIDAS),9.953,R,ugm-3 (Ref.eq)
28,02-01-2020,05:00,10.925,R,ugm-3 (FIDAS),9.859,R,ugm-3 (Ref.eq)
29,02-01-2020,06:00,10.775,R,ugm-3 (FIDAS),9.788,R,ugm-3 (Ref.eq)
30,02-01-2020,07:00,9.375,R,ugm-3 (FIDAS),8.42,R,ugm-3 (Ref.eq)
31,02-01-2020,08:00,6.225,R,ugm-3 (FIDAS),5.236,R,ugm-3 (Ref.eq)
32,02-01-2020,09:00,5.9,R,ugm-3 (FIDAS),5.0,R,ugm-3 (Ref.eq)
33,02-01-2020,10:00,6.375,R,ugm-3 (FIDAS),4.976,R,ugm-3 (Ref.eq)
34,02-01-2020,11:00,4.575,R,ugm-3 (FIDAS),3.561,R,ugm-3 (Ref.eq)
35,02-01-2020,12:00,5.675,R,ugm-3 (FIDAS),3.609,R,ugm-3 (Ref.eq)
36,02-01-2020,13:00,5.825,R,ugm-3 (FIDAS),3.538,R,ugm-3 (Ref.eq)
37,02-01-2020,14:00,9.025,R,ugm-3 (FIDAS),4.693,R,ugm-3 (Ref.eq)
38,02-01-2020,15:00,10.475,R,ugm-3 (FIDAS),5.189,R,ugm-3 (Ref.eq)
39,02-01-2020,16:00,11.7,R,ugm-3 (FIDAS),5.66,R,ugm-3 (Ref.eq)
40,02-01-2020,17:00,12.0,R,ugm-3 (FIDAS),5.849,R,ugm-3 (Ref.eq)
41,02-01-2020,18:00,9.35,R,ugm-3 (FIDAS),5.142,R,ugm-3 (Ref.eq)
42,02-01-2020,19:00,7.35,R,ugm-3 (FIDAS),3.962,R,ugm-3 (Ref.eq)
43,02-01-2020,20:00,5.7,R,ugm-3 (FIDAS),3.609,R,ugm-3 (Ref.eq)
44,02-01-2020,21:00,8.375,R,ugm-3 (FIDAS),4.835,R,ugm-3 (Ref.eq)
45,02-01-2020,22:00,8.925,R,ugm-3 (FIDAS),5.354,R,ugm-3 (Ref.eq)
46,02-01-2020,23:00,10.35,R,ugm-3 (FIDAS),6.274,R,ugm-3 (Ref.eq)
47,02-01-2020,24:00,10.7,R,ugm-3 (FIDAS),6.014,R,ugm-3 (Ref.eq)
48,03-01-2020,01:00,10.25,R,ugm-3 (FIDAS),6.344,R,ugm-3 (Ref.eq)
49,03-01-2020,02:00,7.8,R,ugm-3 (FIDAS),4.929,R,ugm-3 (Ref.eq)
50,03-01-2020,03:00,8.25,R,ugm-3 (FIDAS),5.401,R,ugm-3 (Ref.eq)
51,03-01-2020,04:00,4.35,R,ugm-3 (FIDAS),3.066,R,ugm-3 (Ref.eq)
52,03-01-2020,05:00,2.9,R,ugm-3 (FIDAS),1.934,R,ugm-3 (Ref.eq)
53,03-01-2020,06:00,1.525,R,ugm-3 (FIDAS),0.92,R,ugm-3 (Ref.eq)
54,03-01-2020,07:00,1.75,R,ugm-3 (FIDAS),0.92,R,ugm-3 (Ref.eq)
55,03-01-2020,08:00,2.95,R,ugm-3 (FIDAS),1.462,R,ugm-3 (Ref.eq)
56,03-01-2020,09:00,5.2,R,ugm-3 (FIDAS),3.113,R,ugm-3 (Ref.eq)
57,03-01-2020,10:00,4.175,R,ugm-3 (FIDAS),2.429,R,ugm-3 (Ref.eq)
58,03-01-2020,11:00,7.325,R,ugm-3 (FIDAS),4.387,R,ugm-3 (Ref.eq)
59,03-01-2020,12:00,10.25,R,ugm-3 (FIDAS),5.826,R,ugm-3 (Ref.eq)
60,03-01-2020,13:00,9.625,R,ugm-3 (FIDAS),5.826,R,ugm-3 (Ref.eq)
61,03-01-2020,14:00,5.925,R,ugm-3 (FIDAS),3.42,R,ugm-3 (Ref.eq)
62,03-01-2020,15:00,9.1,R,ugm-3 (FIDAS),4.976,R,ugm-3 (Ref.eq)
63,03-01-2020,16:00,11.875,R,ugm-3 (FIDAS),6.109,R,ugm-3 (Ref.eq)
64,03-01-2020,17:00,12.475,R,ugm-3 (FIDAS),6.769,R,ugm-3 (Ref.eq)
65,03-01-2020,18:00,13.5,R,ugm-3 (FIDAS),7.83,R,ugm-3 (Ref.eq)
66,03-01-2020,19:00,18.025,R,ugm-3 (FIDAS),11.392,R,ugm-3 (Ref.eq)
67,03-01-2020,20:00,19.1,R,ugm-3 (FIDAS),11.981,R,ugm-3 (Ref.eq)
68,03-01-2020,21:00,17.1,R,ugm-3 (FIDAS),11.981,R,ugm-3 (Ref.eq)
69,03-01-2020,22:00,15.575,R,ugm-3 (FIDAS),10.684,R,ugm-3 (Ref.eq)
70,03-01-2020,23:00,14.775,R,ugm-3 (FIDAS),9.151,R,ugm-3 (Ref.eq)
71,03-01-2020,24:00,14.6,R,ugm-3 (FIDAS),8.986,R,ugm-3 (Ref.eq)
72,04-01-2020,01:00,13.125,R,ugm-3 (FIDAS),8.019,R,ugm-3 (Ref.eq)
