,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Ozone,status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5
0,0,01-01-2020,01:00,66.335,R,ugm-3 (FIDAS),21.6282,R,ugm-3,45.61579,R,ugm-3,78.77857,R,ugm-3,0.79828,R,ugm-3,55.137,R,ugm-3 (Ref.eq)
1,1,01-01-2020,02:00,82.37,R,ugm-3 (FIDAS),20.60438,R,ugm-3,39.93404,R,ugm-3,71.52699,R,ugm-3,2.72746,R,ugm-3,70.347,R,ugm-3 (Ref.eq)
2,2,01-01-2020,03:00,53.073,R,ugm-3 (FIDAS),16.09318,R,ugm-3,39.5501,R,ugm-3,64.22596,R,ugm-3,1.69635,R,ugm-3,45.738,R,ugm-3 (Ref.eq)
3,3,01-01-2020,04:00,52.525,R,ugm-3 (FIDAS),12.63778,R,ugm-3,41.8323,R,ugm-3,61.20996,R,ugm-3,0.99785,R,ugm-3,45.024,R,ugm-3 (Ref.eq)
4,4,01-01-2020,05:00,47.043,R,ugm-3 (FIDAS),6.20691,R,ugm-3,39.8266,R,ugm-3,49.34373,R,ugm-3,1.64645,R,ugm-3,41.227,R,ugm-3 (Ref.eq)
5,5,01-01-2020,06:00,45.905,R,ugm-3 (FIDAS),5.27907,R,ugm-3,37.3433,R,ugm-3,45.43777,R,ugm-3,2.29506,R,ugm-3,40.573,R,ugm-3 (Ref.eq)
6,6,01-01-2020,07:00,45.613,R,ugm-3 (FIDAS),6.30289,R,ugm-3,37.10842,R,ugm-3,46.77272,R,ugm-3,1.74624,R,ugm-3,40.618,R,ugm-3 (Ref.eq)
7,7,01-01-2020,08:00,45.16,R,ugm-3 (FIDAS),23.83582,R,ugm-3,43.05488,R,ugm-3,79.60261,R,ugm-3,1.04774,R,ugm-3,40.352,R,ugm-3 (Ref.eq)
8,8,01-01-2020,09:00,43.805,R,ugm-3 (FIDAS),54.6784,R,ugm-3,43.42625,R,ugm-3,127.2653,R,ugm-3,1.14753,R,ugm-3,38.778,R,ugm-3 (Ref.eq)
9,9,01-01-2020,10:00,49.365,R,ugm-3 (FIDAS),48.91941,R,ugm-3,43.30747,R,ugm-3,118.31619,R,ugm-3,1.59656,R,ugm-3,42.653,R,ugm-3 (Ref.eq)
