,Unnamed: 0,Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status.1,unit.1,Nitric oxide,status.2,unit.2,Nitrogen dioxide,status.3,unit.3,Nitrogen oxides as nitrogen dioxide,status.4,unit.4,Ozone,status.5,unit.5,PM<sub>2.5</sub> particulate matter (Hourly measured),status.6,unit.6,Sulphur dioxide,status.7,unit.7,Black Carbon (880nm),status.8,unit.8,Blue Particulate matter (470nm),status.9,unit.9,Infra Red Particulate matter (950nm),status.10,unit.10,Red Particulate matter (660nm),status.11,unit.11,UV Particulate Matter (UV-BC),status.12,unit.12,UV Particulate Matter (370nm),status.13,unit.13,Yellow Particulate matter (590nm),status.14,unit.14
0,0,01-01-2020,01:00,0.213586,R,mgm-3,41.85,R,ugm-3 (FIDAS),12.08422,R,ugm-3,46.22164,R,ugm-3,64.75051,R,ugm-3,1.1309,R,ugm-3,35.189,R,ugm-3 (Ref.eq),,,,2.6,R,ugm-3,3.7,R,ugm-3,2.7,R,ugm-3,2.9,R,ugm-3,1.8,R,ugm-3,4.4,R,ugm-3,3.1,R,ugm-3
1,1,01-01-2020,02:00,0.236887,R,mgm-3,43.0,R,ugm-3 (FIDAS),18.95739,R,ugm-3,45.01138,R,ugm-3,74.07898,R,ugm-3,1.19742,R,ugm-3,36.25,R,ugm-3 (Ref.eq),,,,3.0,R,ugm-3,4.3,R,ugm-3,3.1,R,ugm-3,3.3,R,ugm-3,2.0,R,ugm-3,5.0,R,ugm-3,3.5,R,ugm-3
2,2,01-01-2020,03:00,0.203878,R,mgm-3,46.025,R,ugm-3 (FIDAS),12.43237,R,ugm-3,41.43513,R,ugm-3,60.49783,R,ugm-3,1.49678,R,ugm-3,39.623,R,ugm-3 (Ref.eq),,,,2.7,R,ugm-3,4.0,R,ugm-3,2.7,R,ugm-3,3.0,R,ugm-3,2.2,R,ugm-3,4.9,R,ugm-3,3.2,R,ugm-3
3,3,01-01-2020,04:00,0.203878,R,mgm-3,48.525,R,ugm-3 (FIDAS),8.92839,R,ugm-3,39.81147,R,ugm-3,53.50148,R,ugm-3,1.59656,R,ugm-3,41.179,R,ugm-3 (Ref.eq),,,,2.6,R,ugm-3,3.7,R,ugm-3,2.6,R,ugm-3,2.8,R,ugm-3,2.1,R,ugm-3,4.6,R,ugm-3,3.0,R,ugm-3
4,4,01-01-2020,05:00,0.168928,R,mgm-3,45.4,R,ugm-3 (FIDAS),2.62798,R,ugm-3,33.6273,R,ugm-3,37.65681,R,ugm-3,5.78753,R,ugm-3,40.118,R,ugm-3 (Ref.eq),,,,2.3,R,ugm-3,3.2,R,ugm-3,2.3,R,ugm-3,2.5,R,ugm-3,1.7,R,ugm-3,3.9,R,ugm-3,2.7,R,ugm-3
5,5,01-01-2020,06:00,0.160189,R,mgm-3,43.85,R,ugm-3 (FIDAS),4.2452,R,ugm-3,36.80641,R,ugm-3,43.31562,R,ugm-3,6.08689,R,ugm-3,39.387,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,3.0,R,ugm-3,2.2,R,ugm-3,2.3,R,ugm-3,1.6,R,ugm-3,3.7,R,ugm-3,2.4,R,ugm-3
6,6,01-01-2020,07:00,0.157278,R,mgm-3,43.575,R,ugm-3 (FIDAS),5.76134,R,ugm-3,39.36885,R,ugm-3,48.20278,R,ugm-3,2.74409,R,ugm-3,39.293,R,ugm-3 (Ref.eq),,,,2.0,R,ugm-3,2.9,R,ugm-3,2.2,R,ugm-3,2.2,R,ugm-3,1.7,R,ugm-3,3.7,R,ugm-3,2.4,R,ugm-3
7,7,01-01-2020,08:00,0.177665,R,mgm-3,42.075,R,ugm-3 (FIDAS),10.27608,R,ugm-3,44.7414,R,ugm-3,60.49783,R,ugm-3,1.19742,R,ugm-3,37.995,R,ugm-3 (Ref.eq),,,,1.9,R,ugm-3,2.9,R,ugm-3,2.1,R,ugm-3,2.1,R,ugm-3,1.7,R,ugm-3,3.6,R,ugm-3,2.3,R,ugm-3
8,8,01-01-2020,09:00,0.233003,R,mgm-3,41.775,R,ugm-3 (FIDAS),15.59942,R,ugm-3,47.89668,R,ugm-3,71.81545,R,ugm-3,2.24516,R,ugm-3,37.194,R,ugm-3 (Ref.eq),,,,2.3,R,ugm-3,3.2,R,ugm-3,2.4,R,ugm-3,2.5,R,ugm-3,1.8,R,ugm-3,4.1,R,ugm-3,2.7,R,ugm-3
9,9,01-01-2020,10:00,0.329117,R,mgm-3,37.625,R,ugm-3 (FIDAS),53.16606,R,ugm-3,46.93485,R,ugm-3,128.455,R,ugm-3,2.24516,R,ugm-3,33.821,R,ugm-3 (Ref.eq),,,,2.9,R,ugm-3,3.9,R,ugm-3,2.9,R,ugm-3,3.1,R,ugm-3,1.6,R,ugm-3,4.5,R,ugm-3,3.3,R,ugm-3
10,10,01-01-2020,11:00,0.361155,R,mgm-3,37.375,R,ugm-3 (FIDAS),64.08228,R,ugm-3,48.76806,R,ugm-3,147.02619,R,ugm-3,2.34495,R,ugm-3,33.255,R,ugm-3 (Ref.eq),,,,2.9,R,ugm-3,3.9,R,ugm-3,3.0,R,ugm-3,3.1,R,ugm-3,1.5,R,ugm-3,4.4,R,ugm-3,3.4,R,ugm-3
11,11,01-01-2020,12:00,0.35533,R,mgm-3,39.45,R,ugm-3 (FIDAS),56.23203,R,ugm-3,50.31042,R,ugm-3,136.53167,R,ugm-3,3.24301,R,ugm-3,35.142,R,ugm-3 (Ref.eq),,,,2.8,R,ugm-3,3.9,R,ugm-3,3.0,R,ugm-3,3.1,R,ugm-3,1.6,R,ugm-3,4.5,R,ugm-3,3.3,R,ugm-3
12,12,01-01-2020,13:00,0.19514,R,mgm-3,39.8,R,ugm-3 (FIDAS),9.66962,R,ugm-3,41.4529,R,ugm-3,56.27944,R,ugm-3,8.93076,R,ugm-3,35.354,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.3,R,ugm-3,1.4,R,ugm-3,3.5,R,ugm-3,2.5,R,ugm-3
13,13,01-01-2020,14:00,0.180578,R,mgm-3,40.45,R,ugm-3 (FIDAS),5.5255,R,ugm-3,39.11314,R,ugm-3,47.58545,R,ugm-3,11.47528,R,ugm-3,36.014,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.3,R,ugm-3,1.4,R,ugm-3,3.5,R,ugm-3,2.5,R,ugm-3
14,14,01-01-2020,15:00,0.168928,R,mgm-3,41.475,R,ugm-3 (FIDAS),3.60505,R,ugm-3,36.1932,R,ugm-3,41.72087,R,ugm-3,11.72474,R,ugm-3,36.651,R,ugm-3 (Ref.eq),,,,2.2,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.4,R,ugm-3,1.3,R,ugm-3,3.6,R,ugm-3,2.5,R,ugm-3
15,15,01-01-2020,16:00,0.142715,R,mgm-3,34.1,R,ugm-3 (FIDAS),3.13336,R,ugm-3,35.99046,R,ugm-3,40.79488,R,ugm-3,17.36259,R,ugm-3,29.811,R,ugm-3 (Ref.eq),,,,1.9,R,ugm-3,2.4,R,ugm-3,2.0,R,ugm-3,2.0,R,ugm-3,0.9,R,ugm-3,2.8,R,ugm-3,2.2,R,ugm-3
16,16,01-01-2020,17:00,0.107764,R,mgm-3,26.775,R,ugm-3 (FIDAS),1.78568,R,ugm-3,34.1986,R,ugm-3,36.9366,R,ugm-3,21.50367,R,ugm-3,23.797,R,ugm-3 (Ref.eq),,,,1.5,R,ugm-3,1.9,R,ugm-3,1.6,R,ugm-3,1.6,R,ugm-3,0.7,R,ugm-3,2.2,R,ugm-3,1.7,R,ugm-3
17,17,01-01-2020,18:00,0.101939,R,mgm-3,26.7,R,ugm-3 (FIDAS),0.97707,R,ugm-3,33.74081,R,ugm-3,35.23896,R,ugm-3,23.00044,R,ugm-3,23.679,R,ugm-3 (Ref.eq),,,,1.6,R,ugm-3,2.0,R,ugm-3,1.7,R,ugm-3,1.7,R,ugm-3,0.7,R,ugm-3,2.3,R,ugm-3,1.8,R,ugm-3
