,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3
0,0,01-01-2020,01:00,81.161,R,ugm-3 (Ref.eq),67.57882,R,ugm-3,48.40504,R,ugm-3,152.02445,R,ugm-3
1,1,01-01-2020,02:00,104.35,R,ugm-3 (Ref.eq),79.38627,R,ugm-3,57.32882,R,ugm-3,179.05274,R,ugm-3
2,2,01-01-2020,03:00,87.924,R,ugm-3 (Ref.eq),68.92286,R,ugm-3,44.64042,R,ugm-3,150.32066,R,ugm-3
3,3,01-01-2020,04:00,57.006,R,ugm-3 (Ref.eq),33.91502,R,ugm-3,40.40889,R,ugm-3,92.4112,R,ugm-3
4,4,01-01-2020,05:00,46.378,R,ugm-3 (Ref.eq),12.81234,R,ugm-3,33.90787,R,ugm-3,53.55319,R,ugm-3
5,5,01-01-2020,06:00,51.209,R,ugm-3 (Ref.eq),31.76707,R,ugm-3,39.46226,R,ugm-3,88.17108,R,ugm-3
6,6,01-01-2020,07:00,58.938,R,ugm-3 (Ref.eq),83.39327,R,ugm-3,49.05511,R,ugm-3,176.923,R,ugm-3
7,7,01-01-2020,08:00,42.513,R,ugm-3 (Ref.eq),71.71143,R,ugm-3,46.63771,R,ugm-3,156.5937,R,ugm-3
8,8,01-01-2020,09:00,43.479,R,ugm-3 (Ref.eq),65.11684,R,ugm-3,49.37264,R,ugm-3,149.21707,R,ugm-3
9,9,01-01-2020,10:00,45.411,R,ugm-3 (Ref.eq),64.40086,R,ugm-3,46.34653,R,ugm-3,145.09313,R,ugm-3
10,10,01-01-2020,11:00,44.445,R,ugm-3 (Ref.eq),57.54248,R,ugm-3,42.16737,R,ugm-3,130.39795,R,ugm-3
11,11,01-01-2020,12:00,45.411,R,ugm-3 (Ref.eq),63.42109,R,ugm-3,48.02306,R,ugm-3,145.26738,R,ugm-3
12,12,01-01-2020,13:00,39.614,R,ugm-3 (Ref.eq),41.45169,R,ugm-3,49.47254,R,ugm-3,113.03091,R,ugm-3
13,13,01-01-2020,14:00,39.614,R,ugm-3 (Ref.eq),16.24153,R,ugm-3,43.34504,R,ugm-3,68.24837,R,ugm-3
14,14,01-01-2020,15:00,44.445,R,ugm-3 (Ref.eq),9.45852,R,ugm-3,39.86349,R,ugm-3,54.36636,R,ugm-3
15,15,01-01-2020,16:00,45.411,R,ugm-3 (Ref.eq),13.33991,R,ugm-3,45.47078,R,ugm-3,65.92502,R,ugm-3
16,16,01-01-2020,17:00,38.648,R,ugm-3 (Ref.eq),6.06702,R,ugm-3,39.13919,R,ugm-3,48.44182,R,ugm-3
17,17,01-01-2020,18:00,37.682,R,ugm-3 (Ref.eq),7.95119,R,ugm-3,43.10405,R,ugm-3,55.2957,R,ugm-3
18,18,01-01-2020,19:00,41.547,R,ugm-3 (Ref.eq),8.55412,R,ugm-3,47.98793,R,ugm-3,61.10407,R,ugm-3
19,19,01-01-2020,20:00,37.682,R,ugm-3 (Ref.eq),7.04679,R,ugm-3,44.14227,R,ugm-3,54.9472,R,ugm-3
20,20,01-01-2020,21:00,33.817,R,ugm-3 (Ref.eq),6.74532,R,ugm-3,40.36441,R,ugm-3,50.70709,R,ugm-3
21,21,01-01-2020,22:00,35.749,R,ugm-3 (Ref.eq),3.73065,R,ugm-3,38.65571,R,ugm-3,44.37596,R,ugm-3
22,22,01-01-2020,23:00,29.952,R,ugm-3 (Ref.eq),5.27567,R,ugm-3,39.24898,R,ugm-3,47.33823,R,ugm-3
23,23,01-01-2020,24:00,18.358,R,ugm-3 (Ref.eq),4.25822,R,ugm-3,26.17195,R,ugm-3,32.70113,R,ugm-3
24,24,02-01-2020,01:00,8.696,R,ugm-3 (Ref.eq),2.97037,R,ugm-3,18.09264,R,ugm-3,22.64714,R,ugm-3
25,25,02-01-2020,02:00,9.662,R,ugm-3 (Ref.eq),2.36623,R,ugm-3,16.61466,R,ugm-3,20.24282,R,ugm-3
26,26,02-01-2020,03:00,12.561,R,ugm-3 (Ref.eq),2.15226,R,ugm-3,12.81274,R,ugm-3,16.11282,R,ugm-3
27,27,02-01-2020,04:00,9.662,R,ugm-3 (Ref.eq),1.96346,R,ugm-3,12.69504,R,ugm-3,15.70564,R,ugm-3
28,28,02-01-2020,05:00,12.561,R,ugm-3 (Ref.eq),2.45433,R,ugm-3,14.67633,R,ugm-3,18.43958,R,ugm-3
29,29,02-01-2020,06:00,10.628,R,ugm-3 (Ref.eq),3.20951,R,ugm-3,15.37981,R,ugm-3,20.30099,R,ugm-3
30,30,02-01-2020,07:00,8.696,R,ugm-3 (Ref.eq),3.3983,R,ugm-3,18.98766,R,ugm-3,24.19831,R,ugm-3
31,31,02-01-2020,08:00,10.628,R,ugm-3 (Ref.eq),3.32278,R,ugm-3,22.18641,R,ugm-3,27.28127,R,ugm-3
32,32,02-01-2020,09:00,9.662,R,ugm-3 (Ref.eq),3.17175,R,ugm-3,24.10489,R,ugm-3,28.96817,R,ugm-3
33,33,02-01-2020,10:00,8.696,R,ugm-3 (Ref.eq),4.71986,R,ugm-3,27.0827,R,ugm-3,34.31973,R,ugm-3
34,34,02-01-2020,11:00,9.662,R,ugm-3 (Ref.eq),5.13521,R,ugm-3,22.83936,R,ugm-3,30.71325,R,ugm-3
35,35,02-01-2020,12:00,11.594,R,ugm-3 (Ref.eq),4.34227,R,ugm-3,19.45983,R,ugm-3,26.11789,R,ugm-3
36,36,02-01-2020,13:00,9.662,R,ugm-3 (Ref.eq),3.54934,R,ugm-3,17.88354,R,ugm-3,23.32578,R,ugm-3
37,37,02-01-2020,14:00,15.459,R,ugm-3 (Ref.eq),2.86968,R,ugm-3,15.14468,R,ugm-3,19.54479,R,ugm-3
38,38,02-01-2020,15:00,13.527,R,ugm-3 (Ref.eq),2.86968,R,ugm-3,17.12243,R,ugm-3,21.52254,R,ugm-3
39,39,02-01-2020,16:00,11.594,R,ugm-3 (Ref.eq),1.85019,R,ugm-3,15.95168,R,ugm-3,18.7886,R,ugm-3
40,40,02-01-2020,17:00,16.425,R,ugm-3 (Ref.eq),1.73691,R,ugm-3,16.47438,R,ugm-3,19.13761,R,ugm-3
41,41,02-01-2020,18:00,12.561,R,ugm-3 (Ref.eq),2.15226,R,ugm-3,15.72119,R,ugm-3,19.02127,R,ugm-3
42,42,02-01-2020,19:00,12.561,R,ugm-3 (Ref.eq),1.35932,R,ugm-3,13.91222,R,ugm-3,15.99648,R,ugm-3
43,43,02-01-2020,20:00,10.628,R,ugm-3 (Ref.eq),1.73691,R,ugm-3,13.68227,R,ugm-3,16.3455,R,ugm-3
44,44,02-01-2020,21:00,12.561,R,ugm-3 (Ref.eq),1.32156,R,ugm-3,13.33026,R,ugm-3,15.35662,R,ugm-3
45,45,02-01-2020,22:00,12.561,R,ugm-3 (Ref.eq),1.09501,R,ugm-3,10.18749,R,ugm-3,11.86648,R,ugm-3
46,46,02-01-2020,23:00,9.662,R,ugm-3 (Ref.eq),1.05725,R,ugm-3,8.67483,R,ugm-3,10.29592,R,ugm-3
47,47,02-01-2020,24:00,13.527,R,ugm-3 (Ref.eq),0.8307,R,ugm-3,7.39347,R,ugm-3,8.66718,R,ugm-3
48,48,03-01-2020,01:00,13.527,R,ugm-3 (Ref.eq),1.2107,R,ugm-3,7.54198,R,ugm-3,9.39837,R,ugm-3
49,49,03-01-2020,02:00,9.662,R,ugm-3 (Ref.eq),0.85758,R,ugm-3,4.97653,R,ugm-3,6.29147,R,ugm-3
50,50,03-01-2020,03:00,14.493,R,ugm-3 (Ref.eq),0.71886,R,ugm-3,4.89797,R,ugm-3,6.0002,R,ugm-3
51,51,03-01-2020,04:00,7.73,R,ugm-3 (Ref.eq),0.75669,R,ugm-3,4.43218,R,ugm-3,5.59242,R,ugm-3
52,52,03-01-2020,05:00,3.865,R,ugm-3 (Ref.eq),0.68102,R,ugm-3,3.9074,R,ugm-3,4.95162,R,ugm-3
53,53,03-01-2020,06:00,2.899,R,ugm-3 (Ref.eq),1.2107,R,ugm-3,6.0662,R,ugm-3,7.92259,R,ugm-3
54,54,03-01-2020,07:00,4.831,R,ugm-3 (Ref.eq),1.77822,R,ugm-3,11.31273,R,ugm-3,14.03929,R,ugm-3
55,55,03-01-2020,08:00,3.865,R,ugm-3 (Ref.eq),2.57274,R,ugm-3,19.00739,R,ugm-3,22.95221,R,ugm-3
56,56,03-01-2020,09:00,6.763,R,ugm-3 (Ref.eq),3.32943,R,ugm-3,21.05114,R,ugm-3,26.15619,R,ugm-3
57,57,03-01-2020,10:00,7.73,R,ugm-3 (Ref.eq),10.93416,R,ugm-3,28.73116,R,ugm-3,45.49663,R,ugm-3
58,58,03-01-2020,11:00,20.29,R,ugm-3 (Ref.eq),31.74311,R,ugm-3,45.40866,R,ugm-3,94.08074,R,ugm-3
59,59,03-01-2020,12:00,15.459,R,ugm-3 (Ref.eq),38.06146,R,ugm-3,58.26507,R,ugm-3,116.62517,R,ugm-3
60,60,03-01-2020,13:00,24.155,R,ugm-3 (Ref.eq),39.08299,R,ugm-3,48.95092,R,ugm-3,108.87734,R,ugm-3
61,61,03-01-2020,14:00,27.054,R,ugm-3 (Ref.eq),40.25586,R,ugm-3,53.56053,R,ugm-3,115.28532,R,ugm-3
62,62,03-01-2020,15:00,22.223,R,ugm-3 (Ref.eq),39.49917,R,ugm-3,54.83728,R,ugm-3,115.40183,R,ugm-3
63,63,03-01-2020,16:00,26.087,R,ugm-3 (Ref.eq),38.25063,R,ugm-3,57.62549,R,ugm-3,116.27564,R,ugm-3
64,64,03-01-2020,17:00,26.087,R,ugm-3 (Ref.eq),37.56961,R,ugm-3,65.71848,R,ugm-3,123.32442,R,ugm-3
65,65,03-01-2020,18:00,27.054,R,ugm-3 (Ref.eq),18.57672,R,ugm-3,54.00423,R,ugm-3,82.48813,R,ugm-3
66,66,03-01-2020,19:00,25.121,R,ugm-3 (Ref.eq),12.67454,R,ugm-3,56.76264,R,ugm-3,76.19666,R,ugm-3
67,67,03-01-2020,20:00,25.121,R,ugm-3 (Ref.eq),10.44231,R,ugm-3,58.67073,R,ugm-3,74.68205,R,ugm-3
68,68,03-01-2020,21:00,16.425,R,ugm-3 (Ref.eq),7.60473,R,ugm-3,46.76868,R,ugm-3,58.42909,R,ugm-3
69,69,03-01-2020,22:00,18.358,R,ugm-3 (Ref.eq),12.4097,R,ugm-3,43.18768,R,ugm-3,62.21562,R,ugm-3
70,70,03-01-2020,23:00,19.324,R,ugm-3 (Ref.eq),7.56689,R,ugm-3,36.8652,R,ugm-3,48.4676,R,ugm-3
71,71,03-01-2020,24:00,15.459,R,ugm-3 (Ref.eq),4.31313,R,ugm-3,40.28136,R,ugm-3,46.89474,R,ugm-3
72,72,04-01-2020,01:00,19.324,R,ugm-3 (Ref.eq),4.34701,R,ugm-3,44.82912,R,ugm-3,51.49445,R,ugm-3
73,73,04-01-2020,02:00,22.223,R,ugm-3 (Ref.eq),3.99319,R,ugm-3,34.87052,R,ugm-3,40.99332,R,ugm-3
74,74,04-01-2020,03:00,15.459,R,ugm-3 (Ref.eq),1.78177,R,ugm-3,22.82075,R,ugm-3,25.55276,R,ugm-3
75,75,04-01-2020,04:00,19.324,R,ugm-3 (Ref.eq),1.70595,R,ugm-3,15.87791,R,ugm-3,18.49367,R,ugm-3
76,76,04-01-2020,05:00,12.561,R,ugm-3 (Ref.eq),1.40267,R,ugm-3,13.30927,R,ugm-3,15.46,R,ugm-3
77,77,04-01-2020,06:00,11.594,R,ugm-3 (Ref.eq),1.78177,R,ugm-3,14.6532,R,ugm-3,17.38521,R,ugm-3
78,78,04-01-2020,07:00,10.628,R,ugm-3 (Ref.eq),2.69161,R,ugm-3,19.90885,R,ugm-3,24.03593,R,ugm-3
79,79,04-01-2020,08:00,11.594,R,ugm-3 (Ref.eq),3.10862,R,ugm-3,26.15352,R,ugm-3,30.92001,R,ugm-3
80,80,04-01-2020,09:00,13.527,R,ugm-3 (Ref.eq),4.24592,R,ugm-3,31.6438,R,ugm-3,38.15412,R,ugm-3
81,81,04-01-2020,10:00,12.561,R,ugm-3 (Ref.eq),4.73875,R,ugm-3,23.18731,R,ugm-3,30.45329,R,ugm-3
82,82,04-01-2020,11:00,10.628,R,ugm-3 (Ref.eq),4.89039,R,ugm-3,20.91291,R,ugm-3,28.4114,R,ugm-3
83,83,04-01-2020,12:00,11.594,R,ugm-3 (Ref.eq),5.98978,R,ugm-3,23.77769,R,ugm-3,32.96189,R,ugm-3
84,84,04-01-2020,13:00,9.662,R,ugm-3 (Ref.eq),8.52975,R,ugm-3,30.4426,R,ugm-3,43.52137,R,ugm-3
85,85,04-01-2020,14:00,13.527,R,ugm-3 (Ref.eq),7.77155,R,ugm-3,25.71285,R,ugm-3,37.62907,R,ugm-3
86,86,04-01-2020,15:00,9.662,R,ugm-3 (Ref.eq),5.91396,R,ugm-3,25.06074,R,ugm-3,34.12869,R,ugm-3
87,87,04-01-2020,16:00,11.594,R,ugm-3 (Ref.eq),11.44882,R,ugm-3,27.07521,R,ugm-3,44.62982,R,ugm-3
