,Unnamed: 0,Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status.1,unit.1,Nitrogen oxides as nitrogen dioxide,status.2,unit.2
0,0,01-01-2020,01:00,26.37993,R,ugm-3,23.90116,R,ugm-3,64.34982,R,ugm-3
1,1,01-01-2020,02:00,27.83711,R,ugm-3,24.96095,R,ugm-3,67.64392,R,ugm-3
2,2,01-01-2020,03:00,35.65059,R,ugm-3,24.27996,R,ugm-3,78.94344,R,ugm-3
3,3,01-01-2020,04:00,23.17666,R,ugm-3,23.35454,R,ugm-3,58.89158,R,ugm-3
4,4,01-01-2020,05:00,12.96385,R,ugm-3,23.32868,R,ugm-3,43.20631,R,ugm-3
5,5,01-01-2020,06:00,13.45377,R,ugm-3,24.07132,R,ugm-3,44.70014,R,ugm-3
6,6,01-01-2020,07:00,26.60605,R,ugm-3,24.35883,R,ugm-3,65.15419,R,ugm-3
7,7,01-01-2020,08:00,39.0423,R,ugm-3,23.44601,R,ugm-3,83.31004,R,ugm-3
8,8,01-01-2020,09:00,41.41649,R,ugm-3,22.85076,R,ugm-3,86.35516,R,ugm-3
9,9,01-01-2020,10:00,42.73549,R,ugm-3,23.41381,R,ugm-3,88.94064,R,ugm-3
10,10,01-01-2020,11:00,51.70467,R,ugm-3,25.46144,R,ugm-3,104.74082,R,ugm-3
11,11,01-01-2020,12:00,50.00882,R,ugm-3,28.80863,R,ugm-3,105.48774,R,ugm-3
12,12,01-01-2020,13:00,44.16754,R,ugm-3,29.14684,R,ugm-3,96.86946,R,ugm-3
13,13,01-01-2020,14:00,23.3274,R,ugm-3,31.74168,R,ugm-3,67.50986,R,ugm-3
14,14,01-01-2020,15:00,10.81577,R,ugm-3,31.04641,R,ugm-3,47.63036,R,ugm-3
15,15,01-01-2020,16:00,16.35556,R,ugm-3,32.14721,R,ugm-3,57.22538,R,ugm-3
16,16,01-01-2020,17:00,12.47394,R,ugm-3,33.21524,R,ugm-3,52.34168,R,ugm-3
17,17,01-01-2020,18:00,6.85878,R,ugm-3,34.01113,R,ugm-3,44.52778,R,ugm-3
18,18,01-01-2020,19:00,6.40655,R,ugm-3,33.15324,R,ugm-3,42.97649,R,ugm-3
19,19,01-01-2020,20:00,10.32586,R,ugm-3,35.41727,R,ugm-3,51.25004,R,ugm-3
20,20,01-01-2020,21:00,5.99201,R,ugm-3,35.05288,R,ugm-3,44.2405,R,ugm-3
21,21,01-01-2020,22:00,4.55996,R,ugm-3,32.99698,R,ugm-3,39.98882,R,ugm-3
22,22,01-01-2020,23:00,6.8211,R,ugm-3,34.81583,R,ugm-3,45.2747,R,ugm-3
23,23,01-01-2020,24:00,5.69053,R,ugm-3,34.71077,R,ugm-3,43.43613,R,ugm-3
24,24,02-01-2020,01:00,4.37741,R,ugm-3,32.55135,R,ugm-3,39.26329,R,ugm-3
25,25,02-01-2020,02:00,2.16355,R,ugm-3,25.36321,R,ugm-3,28.6806,R,ugm-3
26,26,02-01-2020,03:00,2.83022,R,ugm-3,23.49744,R,ugm-3,27.83706,R,ugm-3
27,27,02-01-2020,04:00,2.03776,R,ugm-3,22.81455,R,ugm-3,25.93908,R,ugm-3
28,28,02-01-2020,05:00,2.00002,R,ugm-3,21.37703,R,ugm-3,24.4437,R,ugm-3
29,29,02-01-2020,06:00,2.79249,R,ugm-3,23.49779,R,ugm-3,27.77954,R,ugm-3
30,30,02-01-2020,07:00,2.52833,R,ugm-3,23.15513,R,ugm-3,27.03185,R,ugm-3
31,31,02-01-2020,08:00,4.07552,R,ugm-3,27.10941,R,ugm-3,33.35846,R,ugm-3
32,32,02-01-2020,09:00,4.98119,R,ugm-3,29.11409,R,ugm-3,36.75182,R,ugm-3
33,33,02-01-2020,10:00,4.33968,R,ugm-3,28.14224,R,ugm-3,34.79632,R,ugm-3
34,34,02-01-2020,11:00,5.05667,R,ugm-3,27.67553,R,ugm-3,35.42898,R,ugm-3
35,35,02-01-2020,12:00,4.5661,R,ugm-3,26.52975,R,ugm-3,33.531,R,ugm-3
36,36,02-01-2020,13:00,3.69816,R,ugm-3,26.48022,R,ugm-3,32.15065,R,ugm-3
37,37,02-01-2020,14:00,4.30194,R,ugm-3,27.10733,R,ugm-3,33.70354,R,ugm-3
38,38,02-01-2020,15:00,3.81137,R,ugm-3,27.91704,R,ugm-3,33.76106,R,ugm-3
39,39,02-01-2020,16:00,3.43401,R,ugm-3,32.11908,R,ugm-3,37.38448,R,ugm-3
40,40,02-01-2020,17:00,4.60383,R,ugm-3,34.0063,R,ugm-3,41.06541,R,ugm-3
41,41,02-01-2020,18:00,3.43401,R,ugm-3,35.62747,R,ugm-3,40.89287,R,ugm-3
42,42,02-01-2020,19:00,3.69816,R,ugm-3,34.99238,R,ugm-3,40.66281,R,ugm-3
43,43,02-01-2020,20:00,6.22649,R,ugm-3,33.24369,R,ugm-3,42.79085,R,ugm-3
44,44,02-01-2020,21:00,3.28306,R,ugm-3,29.47479,R,ugm-3,34.50875,R,ugm-3
45,45,02-01-2020,22:00,2.4906,R,ugm-3,24.99594,R,ugm-3,28.8148,R,ugm-3
46,46,02-01-2020,23:00,2.41513,R,ugm-3,23.55877,R,ugm-3,27.26191,R,ugm-3
47,47,02-01-2020,24:00,1.96229,R,ugm-3,20.85975,R,ugm-3,23.86855,R,ugm-3
48,48,03-01-2020,01:00,1.86416,R,ugm-3,19.71066,R,ugm-3,22.56899,R,ugm-3
49,49,03-01-2020,02:00,1.20919,R,ugm-3,12.27076,R,ugm-3,14.12481,R,ugm-3
50,50,03-01-2020,03:00,1.24697,R,ugm-3,11.38759,R,ugm-3,13.29958,R,ugm-3
51,51,03-01-2020,04:00,0.90689,R,ugm-3,10.58484,R,ugm-3,11.97539,R,ugm-3
52,52,03-01-2020,05:00,0.98246,R,ugm-3,12.3689,R,ugm-3,13.87533,R,ugm-3
53,53,03-01-2020,06:00,0.90689,R,ugm-3,17.55129,R,ugm-3,18.94183,R,ugm-3
54,54,03-01-2020,07:00,0.98246,R,ugm-3,22.3292,R,ugm-3,23.83562,R,ugm-3
55,55,03-01-2020,08:00,1.51148,R,ugm-3,26.23911,R,ugm-3,28.55669,R,ugm-3
56,56,03-01-2020,09:00,2.75845,R,ugm-3,36.99339,R,ugm-3,41.22295,R,ugm-3
57,57,03-01-2020,10:00,10.01356,R,ugm-3,47.97745,R,ugm-3,63.33136,R,ugm-3
58,58,03-01-2020,11:00,5.49171,R,ugm-3,42.16781,R,ugm-3,50.58832,R,ugm-3
59,59,03-01-2020,12:00,,,,,,,,,
60,60,03-01-2020,13:00,23.61688,R,ugm-3,26.77386,R,ugm-3,62.98591,R,ugm-3
61,61,03-01-2020,14:00,18.85572,R,ugm-3,26.99262,R,ugm-3,55.90431,R,ugm-3
62,62,03-01-2020,15:00,23.31459,R,ugm-3,35.00986,R,ugm-3,70.7584,R,ugm-3
