,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Ozone,status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5,Sulphur dioxide,status.6,unit.6
0,01-01-2022,01:00,19.421,R,ugm-3 (Ref.eq),0.95084,R,ugm-3,17.9831,R,ugm-3,19.44104,R,ugm-3,31.79815,R,ugm-3,,,,0.30661,R,ugm-3
1,01-01-2022,02:00,12.657,R,ugm-3 (Ref.eq),0.9033,R,ugm-3,12.72068,R,ugm-3,14.10572,R,ugm-3,33.72733,R,ugm-3,,,,0.61322,R,ugm-3
2,01-01-2022,03:00,22.319,R,ugm-3 (Ref.eq),0.71313,R,ugm-3,10.8014,R,ugm-3,11.89485,R,ugm-3,35.9226,R,ugm-3,,,,0.74736,R,ugm-3
3,01-01-2022,04:00,17.488,R,ugm-3 (Ref.eq),0.57051,R,ugm-3,7.51193,R,ugm-3,8.38669,R,ugm-3,39.61465,R,ugm-3,,,,0.86234,R,ugm-3
4,01-01-2022,05:00,13.623,R,ugm-3 (Ref.eq),0.67748,R,ugm-3,8.55384,R,ugm-3,9.59262,R,ugm-3,41.85981,R,ugm-3,,,,0.80485,R,ugm-3
5,01-01-2022,06:00,16.522,R,ugm-3 (Ref.eq),0.60616,R,ugm-3,9.75948,R,ugm-3,10.68892,R,ugm-3,42.05938,R,ugm-3,,,,0.28745,R,ugm-3
6,01-01-2022,07:00,14.59,R,ugm-3 (Ref.eq),0.46354,R,ugm-3,11.45818,R,ugm-3,12.16892,R,ugm-3,40.37966,R,ugm-3,,,,0.40243,R,ugm-3
7,01-01-2022,08:00,10.725,R,ugm-3 (Ref.eq),0.46354,R,ugm-3,11.12929,R,ugm-3,11.84003,R,ugm-3,40.6125,R,ugm-3,,,,0.40243,R,ugm-3
8,01-01-2022,09:00,15.556,R,ugm-3 (Ref.eq),0.74879,R,ugm-3,12.00747,R,ugm-3,13.15559,R,ugm-3,40.16346,R,ugm-3,,,,0.40243,R,ugm-3
9,01-01-2022,10:00,6.86,R,ugm-3 (Ref.eq),1.28364,R,ugm-3,12.11923,R,ugm-3,14.08745,R,ugm-3,40.11357,R,ugm-3,,,,0.63238,R,ugm-3
10,01-01-2022,11:00,15.556,R,ugm-3 (Ref.eq),1.42626,R,ugm-3,9.5435,R,ugm-3,11.7304,R,ugm-3,41.51056,R,ugm-3,,,,0.51741,R,ugm-3
11,01-01-2022,12:00,17.488,R,ugm-3 (Ref.eq),1.81849,R,ugm-3,9.59988,R,ugm-3,12.38818,R,ugm-3,40.51271,R,ugm-3,,,,0.22996,R,ugm-3
12,01-01-2022,13:00,19.421,R,ugm-3 (Ref.eq),1.39061,R,ugm-3,10.14632,R,ugm-3,12.27855,R,ugm-3,40.16346,R,ugm-3,,,,0.45992,R,ugm-3
13,01-01-2022,14:00,20.387,R,ugm-3 (Ref.eq),1.74717,R,ugm-3,14.42331,R,ugm-3,17.10227,R,ugm-3,36.97034,R,ugm-3,,,,0.28745,R,ugm-3
14,01-01-2022,15:00,21.353,R,ugm-3 (Ref.eq),1.39061,R,ugm-3,12.83225,R,ugm-3,14.96449,R,ugm-3,37.71873,R,ugm-3,,,,0.80485,R,ugm-3
15,01-01-2022,16:00,19.421,R,ugm-3 (Ref.eq),0.85576,R,ugm-3,10.5827,R,ugm-3,11.89485,R,ugm-3,38.51701,R,ugm-3,,,,0.40243,R,ugm-3
16,01-01-2022,17:00,26.184,R,ugm-3 (Ref.eq),0.71313,R,ugm-3,12.50066,R,ugm-3,13.59411,R,ugm-3,37.71873,R,ugm-3,,,,0.74736,R,ugm-3
17,01-01-2022,18:00,30.049,R,ugm-3 (Ref.eq),0.78445,R,ugm-3,12.82983,R,ugm-3,14.03263,R,ugm-3,40.04705,R,ugm-3,,,,0.5749,R,ugm-3
18,01-01-2022,19:00,25.218,R,ugm-3 (Ref.eq),0.71313,R,ugm-3,14.09029,R,ugm-3,15.18375,R,ugm-3,39.21551,R,ugm-3,,,,0.63238,R,ugm-3
19,01-01-2022,20:00,25.218,R,ugm-3 (Ref.eq),0.78445,R,ugm-3,14.03576,R,ugm-3,15.23856,R,ugm-3,38.16776,R,ugm-3,,,,0.40243,R,ugm-3
20,01-01-2022,21:00,27.15,R,ugm-3 (Ref.eq),0.67748,R,ugm-3,12.71978,R,ugm-3,13.75856,R,ugm-3,38.51701,R,ugm-3,,,,0.68988,R,ugm-3
21,01-01-2022,22:00,27.15,R,ugm-3 (Ref.eq),0.64182,R,ugm-3,13.37741,R,ugm-3,14.36152,R,ugm-3,39.16561,R,ugm-3,,,,0.63238,R,ugm-3
22,01-01-2022,23:00,28.116,R,ugm-3 (Ref.eq),0.71313,R,ugm-3,12.2814,R,ugm-3,13.37485,R,ugm-3,42.90755,R,ugm-3,,,,0.80485,R,ugm-3
23,01-01-2022,24:00,22.319,R,ugm-3 (Ref.eq),0.46354,R,ugm-3,11.23892,R,ugm-3,11.94966,R,ugm-3,44.50411,R,ugm-3,,,,0.80485,R,ugm-3
24,02-01-2022,01:00,5.894,R,ugm-3 (Ref.eq),0.71404,R,ugm-3,10.03032,R,ugm-3,11.12516,R,ugm-3,42.10927,R,ugm-3,,,,0.68966,R,ugm-3
25,02-01-2022,02:00,8.792,R,ugm-3 (Ref.eq),0.57123,R,ugm-3,7.17523,R,ugm-3,8.05111,R,ugm-3,50.62426,R,ugm-3,,,,0.91955,R,ugm-3
26,02-01-2022,03:00,5.894,R,ugm-3 (Ref.eq),0.64264,R,ugm-3,6.09595,R,ugm-3,7.08131,R,ugm-3,55.231,R,ugm-3,,,,0.80461,R,ugm-3
27,02-01-2022,04:00,6.86,R,ugm-3 (Ref.eq),0.32132,R,ugm-3,6.25927,R,ugm-3,6.75195,R,ugm-3,52.78627,R,ugm-3,,,,0.68966,R,ugm-3
28,02-01-2022,05:00,5.894,R,ugm-3 (Ref.eq),0.60694,R,ugm-3,5.60176,R,ugm-3,6.53238,R,ugm-3,45.85121,R,ugm-3,,,,0.45977,R,ugm-3
29,02-01-2022,06:00,8.792,R,ugm-3 (Ref.eq),0.42842,R,ugm-3,4.83248,R,ugm-3,5.48939,R,ugm-3,56.47831,R,ugm-3,,,,0.34483,R,ugm-3
30,02-01-2022,07:00,9.759,R,ugm-3 (Ref.eq),0.32132,R,ugm-3,4.77713,R,ugm-3,5.26982,R,ugm-3,69.00133,R,ugm-3,,,,0.63219,R,ugm-3
31,02-01-2022,08:00,4.928,R,ugm-3 (Ref.eq),0.49983,R,ugm-3,6.86386,R,ugm-3,7.63025,R,ugm-3,69.38384,R,ugm-3,,,,0.63219,R,ugm-3
32,02-01-2022,09:00,7.826,R,ugm-3 (Ref.eq),0.28562,R,ugm-3,8.45487,R,ugm-3,8.89281,R,ugm-3,67.25509,R,ugm-3,,,,0.63219,R,ugm-3
33,02-01-2022,10:00,4.928,R,ugm-3 (Ref.eq),0.67834,R,ugm-3,10.04846,R,ugm-3,11.08857,R,ugm-3,65.70842,R,ugm-3,,,,0.57472,R,ugm-3
34,02-01-2022,11:00,1.063,R,ugm-3 (Ref.eq),0.89255,R,ugm-3,9.22597,R,ugm-3,10.59452,R,ugm-3,66.65638,R,ugm-3,,,,0.63219,R,ugm-3
35,02-01-2022,12:00,3.961,R,ugm-3 (Ref.eq),0.96396,R,ugm-3,10.04968,R,ugm-3,11.52772,R,ugm-3,65.45896,R,ugm-3,,,,0.68966,R,ugm-3
36,02-01-2022,13:00,6.86,R,ugm-3 (Ref.eq),0.85685,R,ugm-3,9.61007,R,ugm-3,10.92389,R,ugm-3,66.65638,R,ugm-3,,,,0.63219,R,ugm-3
